,PERSON_ID,RANKINGS
0,HNe7WcuaH7QA9H3yvc46xw_0000,"[29, 49, 50, 50, 35, 50, 33, 50, 47, 50, 50, 50, 50, 50, 33, 45, 50, 50, 50, 50, 28, 50, 50, 32, 50, 50, 32, 30, 31, 50, 50, 50, 31, 50, 50, 46, 49, 50, 50, 25, 50, 50, 30, 35, 30, 49, 35, 50, 34, 47]"
1,pWmDpibnBo9Dkvep-BDwUA_0000,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2]"
2,GnXKp4H1SHlMb-5bCf2fMA_0000,"[28, 32, 31, 26, 48, 24, 26, 24, 24, 30, 32, 25, 26, 29, 40, 24, 23, 29, 24, 34, 27, 28, 30, 41, 40, 26, 26, 29, 32, 31, 30, 32, 30, 28, 48, 33, 32, 27, 40, 38, 24, 30, 24, 37, 32, 29, 26, 32, 28, 31]"
3,CyrhwsDtNh609wwLZqtdWQ_0000,"[44, 45, 46, 27, 45, 48, 32, 44, 44, 42, 40, 48, 27, 47, 42, 44, 44, 30, 42, 47, 35, 43, 44, 44, 49, 44, 49, 41, 44, 47, 46, 43, 43, 29, 39, 38, 48, 39, 43, 39, 44, 45, 39, 38, 41, 44, 43, 38, 49, 49]"
4,hJmzIHSlUMbjfXwN8Hzo7g_0000,"[2, 8, 6, 2, 2, 7, 2, 8, 6, 8, 2, 7, 6, 8, 5, 6, 5, 2, 2, 7, 7, 2, 9, 8, 8, 2, 8, 3, 6, 7, 6, 9, 2, 6, 7, 7, 2, 6, 7, 2, 2, 8, 5, 7, 2, 6, 7, 7, 2, 6]"
5,sKGPNhUsZwsgwzZcn3Tb-Q_0000,"[33, 34, 36, 28, 46, 37, 36, 38, 35, 31, 39, 27, 28, 33, 34, 30, 30, 31, 35, 29, 34, 35, 37, 33, 47, 31, 31, 34, 34, 36, 36, 44, 32, 35, 31, 44, 36, 33, 36, 37, 32, 29, 37, 36, 38, 36, 38, 35, 32, 33]"
6,xZy6DOd5lvQ8bvQxtYRpew_0000,"[3, 21, 18, 3, 3, 25, 3, 19, 22, 21, 3, 24, 19, 25, 18, 19, 19, 3, 3, 22, 19, 3, 20, 23, 18, 3, 19, 21, 18, 26, 23, 20, 22, 17, 21, 22, 3, 19, 20, 3, 3, 22, 22, 21, 3, 23, 22, 27, 3, 20]"
7,fDtYarSxQOqUOXIUM5RSyA_0000,"[4, 20, 17, 22, 28, 19, 4, 18, 28, 22, 20, 22, 18, 34, 21, 20, 20, 23, 43, 21, 21, 4, 19, 22, 30, 4, 18, 20, 17, 22, 24, 21, 36, 18, 22, 32, 18, 20, 46, 4, 4, 23, 18, 17, 4, 25, 23, 28, 44, 19]"
8,soZ9LxB7AbAGoBa0ZjjI2Q_0000,"[27, 30, 26, 21, 27, 28, 23, 21, 23, 23, 31, 26, 25, 28, 28, 29, 24, 21, 27, 28, 26, 30, 29, 31, 29, 30, 27, 23, 27, 38, 31, 30, 23, 23, 38, 30, 13, 28, 21, 31, 25, 28, 29, 31, 24, 24, 33, 26, 33, 21]"
9,gU30HdSJI1baNIjFqS4Q3w_0000,"[17, 19, 22, 19, 20, 33, 22, 20, 27, 24, 19, 18, 20, 23, 23, 21, 21, 22, 21, 20, 25, 22, 17, 21, 19, 21, 21, 22, 16, 27, 25, 22, 21, 21, 18, 23, 16, 29, 19, 22, 13, 21, 19, 19, 31, 21, 24, 25, 19, 22]"
