Unnamed: 0,PERSON_ID,RANKINGS
0,00BobCQfZ5YKWO4cXzzhdg_0000,"[46, 47, 46, 46, 47, 46, 47, 50, 46, 47, 45, 46, 47, 47, 46, 48, 48, 46, 48, 47, 48, 44, 47, 44, 46, 48, 44, 47, 46, 47, 47, 49, 48, 48, 46, 50, 48, 46, 48, 45, 47, 47, 48, 50, 45, 45, 49, 45, 45, 48]"
1,BpAOvt9zLG5jW4v7vM6Z4A_0000,"[32, 25, 26, 22, 27, 24, 20, 13, 31, 23, 24, 35, 27, 27, 33, 25, 20, 32, 24, 26, 17, 19, 25, 19, 30, 25, 38, 34, 26, 31, 30, 29, 24, 20, 20, 15, 30, 20, 33, 28, 23, 20, 24, 24, 23, 23, 26, 27, 36, 27]"
2,0FaV5aEOGwTL0v7EQxjNqQ_0000,"[23, 23, 24, 27, 22, 28, 27, 16, 11, 29, 21, 20, 9, 32, 31, 22, 29, 27, 21, 29, 31, 28, 20, 35, 7, 17, 18, 19, 12, 22, 19, 38, 23, 19, 24, 24, 20, 37, 17, 18, 31, 14, 30, 15, 13, 36, 30, 20, 10, 16]"
3,XBqEwcUeCWc7F4XloIjyeA_0000,"[1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
4,PpIiyKJBYynBo92-KzHjOQ_0000,"[34, 26, 28, 34, 35, 31, 32, 20, 27, 24, 33, 32, 38, 28, 26, 31, 21, 30, 26, 25, 33, 31, 18, 26, 29, 28, 26, 31, 29, 37, 28, 16, 18, 24, 23, 26, 28, 36, 25, 29, 25, 24, 19, 32, 26, 24, 10, 25, 14, 25]"
5,6jHG3jwRsCBBDPj90rT5qw_0000,"[48, 46, 47, 47, 49, 47, 49, 47, 49, 49, 47, 48, 48, 48, 47, 49, 46, 48, 49, 48, 46, 46, 48, 46, 47, 47, 46, 48, 48, 48, 48, 46, 49, 47, 48, 47, 45, 48, 45, 49, 45, 46, 47, 47, 46, 47, 48, 48, 46, 46]"
6,XBbHPHTBHvjTgUWjWawblQ_0000,"[4, 16, 4, 3, 9, 4, 3, 7, 10, 3, 2, 14, 11, 12, 16, 14, 7, 5, 3, 11, 4, 7, 7, 3, 3, 10, 15, 8, 14, 8, 13, 9, 9, 3, 5, 8, 11, 3, 8, 10, 3, 6, 12, 10, 15, 4, 5, 5, 6, 6]"
7,zlZ2KAjSTcnjB1KtVUNWPw_0000,"[24, 29, 17, 20, 26, 32, 18, 17, 21, 18, 36, 42, 32, 23, 14, 23, 27, 31, 23, 39, 30, 30, 26, 18, 13, 26, 16, 24, 13, 20, 17, 28, 25, 23, 21, 13, 23, 33, 22, 22, 20, 25, 23, 23, 10, 35, 22, 19, 30, 20]"
8,6RQzJBu1M0XNv3ZxfMNufw_0000,"[18, 33, 34, 37, 36, 40, 36, 25, 32, 35, 35, 39, 36, 14, 42, 34, 28, 22, 12, 17, 35, 24, 29, 16, 33, 20, 32, 32, 31, 39, 32, 32, 22, 39, 37, 27, 37, 26, 27, 30, 34, 34, 36, 4, 33, 25, 12, 30, 23, 35]"
9,38eIhiZRW01dN2ZBFzwziQ_0000,"[43, 38, 44, 43, 44, 43, 44, 43, 43, 44, 42, 40, 42, 41, 39, 44, 42, 40, 39, 38, 38, 40, 45, 36, 42, 40, 39, 43, 44, 44, 44, 42, 43, 44, 43, 43, 42, 43, 42, 40, 42, 42, 40, 42, 40, 38, 40, 42, 40, 42]"
10,kPo6K1tyXcohB0atPM4hCA_0000,"[28, 20, 22, 32, 30, 26, 23, 26, 25, 19, 27, 25, 29, 40, 25, 24, 33, 33, 33, 34, 24, 23, 24, 29, 23, 34, 28, 37, 19, 32, 22, 19, 37, 29, 32, 31, 34, 30, 21, 32, 36, 31, 21, 33, 29, 26, 36, 26, 26, 29]"
11,WVBBiHlk0wB1dRd1qx-SJA_0000,"[3, 5, 14, 17, 8, 9, 14, 3, 6, 16, 4, 12, 21, 17, 15, 13, 30, 12, 8, 3, 10, 6, 32, 14, 12, 7, 7, 12, 15, 4, 20, 5, 21, 15, 12, 20, 21, 19, 15, 8, 8, 23, 15, 9, 17, 13, 6, 15, 17, 9]"
12,VvDauMYBsFGSiiLZ6QJqBA_0000,"[35, 42, 36, 31, 28, 34, 30, 27, 38, 36, 34, 34, 35, 34, 35, 39, 44, 36, 35, 33, 34, 35, 35, 45, 36, 41, 40, 29, 37, 28, 38, 31, 41, 37, 42, 38, 35, 38, 41, 41, 40, 40, 37, 38, 41, 44, 35, 39, 42, 34]"
13,e4yOFQLLhv8SBCl9W14tTA_0000,"[25, 18, 29, 30, 29, 27, 19, 21, 23, 17, 23, 24, 28, 20, 22, 32, 24, 23, 28, 19, 15, 26, 28, 20, 26, 27, 27, 33, 21, 17, 15, 17, 19, 12, 18, 33, 25, 14, 32, 19, 22, 19, 6, 25, 19, 16, 34, 29, 25, 32]"
14,81peZrMxMMH4pqLcEOTIPQ_0000,"[26, 28, 25, 29, 32, 29, 31, 28, 19, 25, 29, 23, 24, 30, 34, 28, 34, 26, 34, 35, 27, 32, 31, 24, 27, 43, 20, 27, 35, 25, 27, 33, 31, 32, 25, 25, 22, 24, 34, 35, 37, 26, 29, 27, 28, 29, 37, 34, 28, 37]"
15,LYBtShAuZ36F2FOM6xRqXA_0000,"[33, 27, 27, 28, 33, 25, 25, 18, 28, 21, 30, 43, 25, 26, 36, 26, 32, 34, 32, 28, 26, 25, 33, 34, 24, 30, 34, 36, 40, 29, 33, 39, 36, 33, 27, 37, 33, 31, 36, 34, 24, 35, 32, 31, 35, 30, 25, 32, 37, 33]"
16,RYmwvPnz0ihV71SPQWM03g_0000,"[50, 48, 48, 49, 48, 49, 48, 48, 48, 48, 48, 47, 49, 49, 48, 50, 47, 47, 50, 49, 49, 49, 43, 48, 48, 46, 47, 49, 49, 49, 46, 45, 47, 46, 47, 46, 49, 49, 46, 48, 48, 48, 49, 46, 48, 50, 47, 50, 47, 47]"
17,b4JjF95QesD0pcChNsG92A_0000,"[40, 37, 40, 38, 40, 39, 38, 40, 36, 41, 40, 33, 40, 37, 41, 42, 36, 42, 37, 40, 40, 41, 36, 38, 40, 36, 33, 42, 38, 36, 39, 41, 38, 40, 38, 34, 36, 40, 40, 39, 41, 41, 39, 39, 34, 37, 38, 38, 38, 40]"
18,NE0HmjjlnykTIeVmhnhUdQ_0000,"[21, 15, 32, 24, 2, 38, 5, 34, 1, 38, 19, 17, 2, 2, 2, 15, 11, 2, 41, 44, 43, 33, 21, 32, 38, 11, 42, 1, 43, 43, 42, 25, 20, 36, 16, 6, 15, 42, 6, 2, 19, 43, 14, 40, 32, 5, 2, 37, 21, 31]"
19,AGAL-QD-FWUTlAxk1mweYg_0000,"[2, 2, 2, 2, 3, 2, 2, 4, 4, 2, 3, 5, 3, 3, 3, 2, 5, 4, 2, 2, 3, 2, 2, 2, 2, 4, 2, 3, 4, 7, 6, 2, 4, 2, 3, 2, 2, 2, 4, 9, 2, 4, 9, 7, 4, 2, 3, 2, 2, 4]"
