,PERSON_ID,RANKINGS
0,8CqSoBU8zVL-Jm4qn8aFBQ_0000,"[24, 27, 30, 33, 28, 37, 29, 27, 30, 28, 30, 32, 28, 28, 30, 35, 26, 22, 33, 32, 28, 30, 33, 30, 28, 31, 33, 35, 33, 21, 28, 33, 28, 24, 22, 32, 35, 32, 32, 33, 28, 28, 31, 28, 26, 28, 30, 18, 23, 23]"
1,7A9-kBnV-n7vdTFXkSAJ7Q_0000,"[2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
2,n4rsSZuYuydcPpcu0350tg_0000,"[33, 26, 15, 16, 11, 22, 19, 10, 10, 23, 14, 20, 22, 18, 11, 10, 16, 17, 14, 23, 10, 12, 10, 10, 8, 16, 18, 12, 24, 23, 16, 32, 13, 8, 13, 9, 12, 24, 11, 17, 26, 17, 20, 15, 20, 15, 21, 11, 9, 16]"
3,7WLOTyuTUcSXATPSPGDa6g_0000,"[35, 32, 24, 29, 34, 33, 33, 43, 37, 18, 38, 17, 32, 37, 40, 32, 32, 35, 24, 6, 36, 36, 27, 21, 31, 19, 11, 14, 15, 33, 24, 30, 32, 38, 25, 25, 20, 16, 27, 38, 37, 37, 27, 30, 12, 33, 37, 31, 32, 48]"
4,5hFOBOdKZYuiuJIoaROBEQ_0000,"[15, 10, 29, 15, 10, 17, 14, 12, 11, 17, 16, 34, 9, 14, 31, 25, 13, 13, 27, 21, 21, 16, 11, 12, 4, 10, 13, 10, 14, 9, 15, 25, 10, 23, 15, 24, 13, 20, 19, 9, 19, 13, 7, 13, 19, 16, 16, 28, 25, 15]"
5,bQOABI8N7ohbD9pkgUxEeQ_0000,"[28, 31, 31, 28, 38, 38, 18, 35, 32, 33, 28, 27, 36, 23, 36, 36, 37, 24, 36, 43, 32, 33, 38, 38, 38, 38, 34, 28, 34, 34, 35, 34, 40, 36, 29, 30, 38, 21, 39, 44, 29, 35, 34, 26, 29, 36, 41, 33, 39, 35]"
6,NFEsVuCGuaiwOcl8MGKfng_0000,"[12, 17, 4, 5, 8, 11, 4, 5, 5, 11, 10, 3, 4, 4, 10, 5, 6, 4, 10, 8, 3, 11, 8, 8, 3, 3, 7, 3, 3, 3, 5, 8, 3, 3, 11, 7, 10, 6, 3, 8, 5, 4, 6, 3, 3, 4, 10, 7, 13, 6]"
7,LMYf46hDLP2TL4-9hTfybA_0000,"[34, 34, 35, 43, 42, 23, 43, 29, 42, 39, 23, 33, 29, 31, 29, 26, 40, 37, 30, 25, 34, 31, 37, 34, 33, 33, 42, 31, 38, 30, 31, 37, 23, 34, 32, 14, 36, 34, 34, 28, 35, 40, 35, 34, 38, 38, 32, 40, 37, 38]"
8,U0t0KVifKtifyEF3ZERjjg_0000,"[11, 16, 14, 20, 23, 5, 8, 23, 14, 25, 9, 30, 6, 25, 13, 14, 28, 15, 18, 3, 15, 17, 16, 17, 14, 12, 15, 18, 8, 25, 10, 26, 18, 12, 8, 12, 17, 18, 30, 15, 10, 8, 24, 12, 10, 10, 12, 10, 7, 33]"
9,7ZCY4vbOBfTpM4F1N6s5xQ_0000,"[14, 23, 5, 8, 18, 10, 15, 9, 8, 16, 5, 19, 21, 20, 9, 13, 8, 12, 25, 22, 18, 7, 9, 6, 15, 8, 8, 27, 17, 22, 6, 23, 11, 22, 9, 8, 19, 29, 4, 12, 20, 15, 8, 4, 35, 17, 18, 29, 12, 13]"
10,S9vmt9rk2DNk3ZUz5dzq0g_0000,"[10, 9, 13, 26, 6, 7, 7, 11, 12, 10, 13, 10, 10, 7, 19, 15, 21, 14, 5, 7, 9, 9, 7, 9, 17, 13, 5, 19, 16, 10, 13, 3, 12, 7, 5, 10, 8, 17, 12, 7, 18, 10, 13, 14, 8, 7, 7, 9, 5, 7]"
11,WO-lWsSQGWYTYr7EA9wSew_0000,"[49, 50, 49, 49, 48, 42, 50, 47, 43, 47, 49, 50, 40, 45, 50, 50, 50, 50, 47, 49, 49, 50, 49, 49, 49, 49, 50, 45, 50, 49, 50, 50, 50, 50, 48, 50, 48, 40, 47, 49, 49, 48, 48, 49, 49, 49, 50, 49, 48, 50]"
12,E9r6IU0Asw62k3jAv53z8g_0000,"[23, 30, 33, 25, 27, 18, 27, 32, 29, 32, 24, 24, 33, 29, 24, 33, 24, 21, 20, 33, 26, 41, 24, 28, 26, 34, 28, 34, 30, 24, 32, 29, 34, 35, 34, 33, 25, 33, 24, 27, 31, 34, 29, 21, 31, 34, 28, 19, 21, 24]"
13,xROpP1Nq7LnCNtUDnH590Q_0000,"[36, 37, 36, 38, 35, 41, 42, 37, 40, 40, 42, 39, 37, 34, 43, 41, 36, 39, 43, 41, 41, 40, 41, 37, 41, 32, 35, 39, 43, 35, 39, 40, 26, 40, 44, 43, 34, 41, 37, 31, 39, 39, 32, 31, 28, 39, 40, 36, 34, 31]"
14,MlnEt1h6MqHmc1NR0vuG7Q_0000,"[37, 28, 21, 23, 26, 24, 22, 33, 31, 22, 25, 25, 27, 27, 38, 30, 18, 27, 17, 28, 25, 21, 19, 29, 22, 30, 31, 22, 26, 31, 34, 21, 22, 25, 19, 22, 24, 28, 33, 24, 24, 32, 30, 20, 24, 24, 29, 32, 19, 22]"
15,KcPi11oyGyU9nBEd6G3BPQ_0000,"[16, 25, 26, 14, 22, 21, 13, 16, 28, 12, 15, 21, 23, 13, 23, 21, 15, 25, 16, 20, 19, 22, 22, 31, 19, 20, 25, 16, 19, 27, 26, 22, 33, 15, 16, 15, 22, 14, 20, 19, 21, 25, 19, 24, 27, 20, 22, 13, 26, 27]"
16,vRMtrtQf-xf0HWZAITENHw_0000,"[40, 45, 42, 46, 43, 45, 48, 46, 41, 45, 44, 44, 46, 41, 45, 39, 45, 42, 42, 47, 48, 37, 44, 46, 47, 45, 43, 47, 44, 43, 45, 42, 45, 44, 43, 45, 43, 47, 45, 47, 43, 45, 46, 43, 43, 41, 47, 44, 47, 44]"
17,UFhsrZgBRXmdCESN4kmenA_0000,"[41, 35, 39, 37, 32, 36, 35, 42, 44, 44, 35, 43, 34, 43, 33, 24, 48, 41, 44, 27, 35, 44, 32, 45, 16, 36, 32, 32, 21, 40, 37, 46, 42, 45, 42, 39, 41, 39, 40, 40, 45, 43, 45, 41, 42, 44, 34, 37, 43, 45]"
18,JwEwLPc57ZCTAQyLtlO45w_0000,"[8, 3, 11, 6, 5, 8, 5, 7, 7, 3, 4, 6, 7, 6, 6, 6, 5, 6, 6, 5, 5, 5, 13, 5, 9, 7, 6, 5, 7, 4, 4, 4, 6, 14, 6, 6, 5, 3, 7, 11, 9, 6, 4, 9, 7, 5, 5, 5, 6, 3]"
