,PERSON_ID,RANKINGS
0,KcPi11oyGyU9nBEd6G3BPQ_0000,"[41, 38, 49, 50, 42, 20, 41, 23, 14, 24, 34, 38, 29, 50, 30, 29, 36, 32, 24, 44, 46, 23, 46, 17, 50, 20, 50, 47, 50, 44, 49, 20, 20, 35, 17, 37, 28, 42, 26, 50, 50, 30, 17, 45, 19, 25, 44, 30, 37, 49]"
1,aMrpCNQ2MDX7Q6ISp2PUVQ_0000,"[7, 9, 9, 49, 9, 6, 8, 13, 7, 12, 9, 9, 9, 13, 14, 9, 7, 6, 12, 13, 13, 10, 8, 11, 6, 14, 46, 13, 46, 8, 29, 12, 8, 14, 8, 18, 8, 11, 5, 9, 13, 8, 10, 10, 10, 11, 9, 16, 8, 14]"
2,S9vmt9rk2DNk3ZUz5dzq0g_0000,"[47, 47, 48, 41, 46, 47, 49, 42, 22, 37, 35, 39, 44, 48, 48, 46, 47, 42, 26, 43, 45, 49, 32, 46, 36, 48, 47, 40, 49, 49, 48, 40, 36, 36, 47, 38, 29, 37, 47, 47, 49, 43, 37, 27, 49, 49, 48, 31, 48, 47]"
3,B4yO0wLattXcHf7qgTUHBQ_0000,"[8, 5, 5, 7, 4, 7, 5, 5, 8, 5, 7, 5, 8, 7, 5, 6, 5, 7, 5, 5, 8, 5, 5, 8, 7, 5, 6, 6, 8, 6, 7, 7, 7, 5, 5, 5, 4, 5, 6, 5, 10, 7, 5, 7, 11, 6, 6, 6, 6, 5]"
4,S0s0-uyhMCbppgQkOIVCog_0000,"[24, 16, 36, 24, 14, 21, 28, 16, 16, 20, 21, 24, 30, 19, 26, 25, 14, 11, 13, 14, 23, 19, 20, 22, 19, 27, 24, 12, 26, 13, 12, 11, 24, 25, 10, 25, 22, 19, 15, 21, 28, 18, 16, 14, 21, 28, 19, 15, 14, 13]"
5,ZxgS1XFR4MtjhqA4S5BeaQ_0000,"[45, 48, 50, 34, 44, 50, 46, 49, 13, 45, 48, 45, 46, 49, 50, 44, 43, 48, 34, 40, 49, 50, 47, 49, 48, 47, 39, 45, 48, 45, 45, 48, 44, 48, 50, 48, 47, 49, 48, 48, 47, 50, 45, 47, 46, 44, 50, 37, 49, 48]"
6,bQOABI8N7ohbD9pkgUxEeQ_0000,"[26, 18, 33, 32, 27, 44, 29, 36, 23, 23, 30, 23, 38, 33, 43, 26, 24, 19, 21, 30, 26, 35, 29, 19, 21, 29, 34, 31, 36, 31, 36, 29, 25, 34, 24, 31, 31, 29, 25, 33, 45, 28, 22, 22, 27, 34, 28, 24, 39, 31]"
7,E9r6IU0Asw62k3jAv53z8g_0000,"[20, 19, 27, 16, 13, 23, 26, 15, 21, 22, 24, 19, 20, 22, 31, 17, 21, 14, 15, 19, 22, 20, 21, 14, 15, 24, 28, 15, 21, 24, 13, 15, 23, 17, 23, 26, 25, 20, 17, 22, 23, 20, 19, 20, 26, 18, 26, 18, 26, 17]"
8,U0t0KVifKtifyEF3ZERjjg_0000,"[28, 11, 19, 27, 17, 14, 13, 10, 17, 31, 23, 11, 18, 23, 33, 12, 17, 12, 16, 21, 11, 17, 27, 13, 11, 21, 25, 17, 25, 48, 15, 13, 26, 18, 19, 13, 11, 18, 16, 24, 27, 19, 18, 15, 22, 29, 20, 22, 34, 30]"
9,LMYf46hDLP2TL4-9hTfybA_0000,"[18, 20, 20, 25, 26, 31, 25, 26, 18, 29, 19, 25, 19, 32, 18, 24, 26, 20, 17, 22, 24, 16, 28, 23, 20, 32, 32, 26, 31, 23, 27, 25, 27, 29, 22, 27, 30, 32, 27, 29, 22, 16, 23, 21, 28, 33, 27, 17, 16, 32]"
