,PERSON_ID,RANKINGS
0,WO-lWsSQGWYTYr7EA9wSew_0000,"[49, 49, 50, 46, 38, 50, 50, 50, 49, 49, 50, 50, 48, 50, 50, 50, 50, 41, 50, 50, 50, 48, 48, 50, 43, 49, 49, 47, 49, 50, 49, 50, 50, 50, 49, 49, 49, 40, 49, 47, 50, 48, 48, 50, 24, 50, 48, 50, 49, 50]"
1,B4yO0wLattXcHf7qgTUHBQ_0000,"[20, 18, 8, 22, 26, 26, 12, 17, 24, 15, 20, 31, 17, 21, 18, 21, 16, 19, 15, 15, 15, 25, 17, 24, 21, 15, 24, 18, 28, 24, 23, 15, 13, 18, 12, 25, 21, 16, 28, 22, 26, 20, 25, 21, 21, 26, 31, 31, 28, 13]"
2,Y-EqVgxtfVJB3FrB5DQZVA_0000,"[33, 33, 24, 36, 33, 22, 20, 34, 35, 28, 34, 38, 33, 32, 33, 24, 30, 33, 32, 31, 37, 35, 37, 31, 29, 29, 22, 29, 34, 37, 33, 36, 39, 26, 36, 37, 28, 31, 36, 35, 32, 33, 33, 32, 35, 25, 35, 33, 31, 36]"
3,r33RDA8B7smPpGVbmHYEhQ_0000,"[29, 27, 27, 14, 22, 9, 9, 22, 3, 7, 4, 9, 13, 6, 23, 11, 11, 8, 22, 9, 26, 21, 15, 13, 7, 14, 9, 5, 9, 27, 15, 11, 10, 28, 3, 13, 14, 8, 17, 20, 13, 8, 8, 23, 10, 18, 18, 6, 8, 21]"
4,BtUJXTKPdBFWUY0PvNLyiA_0000,"[42, 44, 46, 34, 41, 42, 42, 36, 40, 44, 42, 43, 32, 47, 43, 42, 41, 39, 39, 46, 46, 43, 28, 37, 20, 39, 44, 44, 44, 39, 42, 40, 47, 44, 34, 43, 46, 30, 39, 41, 43, 40, 42, 45, 41, 39, 46, 41, 45, 39]"
5,KcPi11oyGyU9nBEd6G3BPQ_0000,"[16, 11, 28, 23, 15, 27, 29, 24, 21, 19, 15, 12, 18, 24, 29, 28, 22, 18, 23, 18, 9, 15, 22, 21, 37, 8, 21, 17, 20, 16, 22, 13, 18, 12, 21, 28, 20, 15, 25, 13, 17, 21, 26, 16, 5, 17, 22, 22, 21, 23]"
6,IRY5LmtkXplEjrHdPKQ9uQ_0000,"[26, 32, 19, 29, 44, 31, 31, 33, 44, 34, 30, 26, 35, 30, 24, 33, 36, 31, 41, 30, 40, 41, 35, 26, 40, 46, 38, 14, 29, 23, 26, 42, 26, 33, 32, 20, 26, 45, 40, 42, 25, 45, 41, 43, 40, 34, 28, 19, 37, 35]"
7,E9r6IU0Asw62k3jAv53z8g_0000,"[37, 25, 34, 31, 30, 25, 35, 35, 36, 36, 32, 32, 29, 31, 31, 29, 26, 34, 35, 36, 35, 37, 39, 32, 35, 34, 26, 30, 37, 38, 32, 33, 36, 37, 28, 34, 32, 34, 34, 29, 33, 29, 32, 31, 36, 29, 37, 32, 36, 38]"
8,2Bb9vlUjX4OD-ImYtOrmMQ_0000,"[5, 17, 23, 20, 12, 8, 14, 10, 16, 14, 13, 6, 15, 10, 20, 14, 5, 17, 11, 8, 25, 19, 18, 8, 31, 11, 11, 23, 11, 12, 19, 21, 6, 19, 22, 15, 9, 12, 18, 8, 10, 10, 14, 17, 17, 7, 16, 10, 13, 16]"
9,2AHZlYS-B7bYhKBQvarChQ_0000,"[41, 42, 45, 30, 49, 41, 47, 46, 37, 41, 35, 23, 45, 48, 47, 40, 20, 28, 30, 48, 48, 32, 40, 48, 36, 42, 40, 49, 47, 29, 48, 46, 35, 20, 46, 45, 33, 41, 27, 50, 30, 35, 39, 40, 46, 15, 45, 44, 33, 45]"
10,vRMtrtQf-xf0HWZAITENHw_0000,"[45, 46, 48, 48, 42, 46, 43, 37, 46, 46, 44, 45, 46, 43, 40, 44, 38, 42, 44, 41, 42, 47, 47, 44, 46, 41, 43, 45, 46, 45, 46, 41, 41, 46, 44, 44, 47, 48, 46, 45, 44, 38, 43, 38, 45, 41, 40, 42, 43, 47]"
11,mK8IGYA990aglxKxFkqR8w_0000,"[18, 12, 41, 25, 11, 30, 33, 31, 30, 17, 28, 22, 40, 29, 15, 35, 34, 37, 20, 22, 22, 17, 32, 30, 30, 28, 37, 13, 25, 28, 25, 22, 27, 41, 31, 18, 38, 25, 16, 26, 11, 19, 27, 35, 37, 30, 30, 11, 23, 29]"
12,MP8afz3m7fYRDC6X78cYnA_0000,"[30, 41, 36, 38, 20, 37, 37, 32, 28, 40, 43, 36, 27, 27, 42, 39, 40, 30, 37, 34, 39, 39, 34, 41, 39, 43, 41, 41, 40, 40, 29, 31, 29, 34, 39, 41, 30, 35, 43, 36, 34, 30, 29, 29, 34, 35, 41, 39, 44, 40]"
13,NFEsVuCGuaiwOcl8MGKfng_0000,"[10, 10, 12, 17, 23, 7, 3, 29, 4, 5, 8, 16, 6, 8, 4, 8, 14, 12, 8, 11, 4, 5, 5, 12, 10, 21, 6, 10, 8, 4, 9, 8, 14, 4, 5, 6, 7, 10, 6, 10, 7, 11, 13, 6, 9, 3, 20, 14, 5, 20]"
14,IFW6W7DJq-BnOSUDJ6yiLQ_0000,"[11, 14, 18, 9, 17, 5, 18, 5, 13, 6, 12, 18, 16, 34, 5, 7, 13, 22, 9, 10, 8, 8, 14, 5, 11, 20, 16, 12, 5, 6, 13, 16, 4, 13, 13, 9, 17, 24, 5, 18, 20, 15, 40, 12, 13, 28, 6, 7, 16, 6]"
15,l-SZsBrZtJO43A0wsoCRqg_0000,"[24, 7, 7, 8, 18, 4, 6, 21, 17, 22, 17, 15, 14, 17, 13, 9, 44, 16, 10, 26, 20, 13, 13, 18, 15, 12, 13, 9, 10, 13, 14, 17, 21, 14, 17, 14, 8, 11, 13, 16, 21, 16, 15, 34, 20, 27, 11, 17, 10, 9]"
16,z9jEydDECTJi-RF5OUwknA_0000,"[32, 39, 33, 42, 32, 28, 38, 28, 39, 32, 26, 24, 31, 40, 30, 32, 19, 38, 31, 25, 32, 29, 25, 29, 38, 32, 28, 22, 30, 26, 34, 35, 34, 40, 29, 29, 34, 32, 31, 33, 22, 36, 34, 37, 31, 37, 33, 26, 32, 25]"
17,a5U4OnjRMP257LKlU61M7A_0000,"[31, 19, 17, 32, 27, 17, 32, 19, 38, 23, 14, 39, 30, 38, 26, 31, 35, 48, 16, 29, 16, 30, 30, 23, 18, 22, 30, 37, 16, 33, 17, 34, 11, 32, 11, 26, 25, 23, 23, 39, 40, 34, 30, 33, 25, 31, 38, 29, 27, 30]"
18,xROpP1Nq7LnCNtUDnH590Q_0000,"[34, 36, 35, 41, 40, 34, 44, 39, 32, 42, 39, 40, 36, 33, 41, 45, 37, 43, 45, 42, 43, 40, 46, 42, 42, 40, 31, 40, 41, 42, 35, 38, 40, 39, 41, 40, 43, 43, 45, 34, 45, 43, 44, 46, 39, 45, 39, 46, 41, 42]"
19,ZxgS1XFR4MtjhqA4S5BeaQ_0000,"[14, 34, 15, 27, 19, 20, 24, 15, 27, 33, 29, 20, 24, 25, 35, 22, 24, 21, 26, 35, 28, 23, 23, 16, 25, 18, 15, 21, 24, 30, 36, 26, 28, 22, 23, 31, 23, 18, 20, 23, 19, 18, 19, 19, 32, 19, 25, 24, 29, 27]"
