,PERSON_ID,RANKINGS
0,KcPi11oyGyU9nBEd6G3BPQ_0000,"[36, 50, 50, 46, 49, 28, 50, 50, 36, 44, 50, 50, 50, 50, 49, 28, 38, 46, 47, 50, 27, 50, 49, 50, 50, 49, 48, 50, 50, 50, 35, 50, 49, 35, 50, 29, 24, 48, 50, 49, 42, 42, 47, 50, 50, 50, 50, 39, 44, 50]"
1,aMrpCNQ2MDX7Q6ISp2PUVQ_0000,"[14, 31, 30, 31, 12, 24, 11, 35, 26, 13, 22, 12, 49, 49, 50, 12, 21, 24, 9, 18, 12, 22, 17, 41, 15, 16, 49, 47, 9, 30, 34, 9, 15, 33, 8, 33, 10, 14, 9, 15, 14, 46, 40, 41, 48, 12, 19, 14, 16, 36]"
2,S9vmt9rk2DNk3ZUz5dzq0g_0000,"[37, 42, 45, 43, 50, 48, 46, 49, 45, 45, 45, 48, 43, 43, 48, 37, 46, 48, 46, 48, 45, 26, 50, 46, 48, 45, 46, 42, 42, 47, 42, 47, 42, 31, 34, 46, 26, 50, 40, 46, 43, 48, 32, 49, 46, 47, 45, 42, 48, 48]"
3,B4yO0wLattXcHf7qgTUHBQ_0000,"[7, 5, 5, 10, 7, 6, 6, 7, 9, 4, 5, 5, 9, 5, 9, 6, 4, 6, 5, 6, 7, 8, 6, 4, 5, 5, 5, 9, 7, 4, 7, 5, 9, 7, 5, 5, 6, 7, 5, 6, 7, 7, 4, 10, 5, 8, 9, 5, 8, 7]"
4,S0s0-uyhMCbppgQkOIVCog_0000,"[26, 22, 15, 28, 11, 19, 28, 29, 31, 12, 30, 13, 12, 20, 14, 22, 23, 31, 25, 44, 26, 15, 31, 40, 20, 18, 21, 31, 15, 35, 17, 16, 26, 16, 23, 21, 13, 15, 26, 19, 17, 19, 37, 28, 14, 22, 26, 17, 32, 17]"
5,ZxgS1XFR4MtjhqA4S5BeaQ_0000,"[48, 44, 48, 47, 47, 50, 45, 40, 49, 49, 42, 49, 47, 42, 37, 44, 49, 49, 50, 33, 46, 46, 46, 47, 49, 46, 45, 45, 37, 48, 43, 35, 35, 49, 46, 47, 47, 49, 45, 47, 49, 43, 44, 46, 41, 49, 49, 48, 49, 38]"
6,bQOABI8N7ohbD9pkgUxEeQ_0000,"[33, 37, 32, 21, 29, 20, 35, 31, 34, 27, 34, 16, 42, 22, 28, 19, 27, 39, 24, 27, 31, 31, 33, 36, 31, 27, 27, 36, 24, 32, 33, 25, 29, 21, 31, 20, 36, 22, 25, 31, 30, 23, 33, 30, 27, 33, 29, 31, 43, 32]"
7,E9r6IU0Asw62k3jAv53z8g_0000,"[24, 20, 20, 24, 15, 15, 31, 22, 30, 18, 25, 19, 18, 21, 21, 20, 22, 32, 28, 21, 28, 17, 21, 30, 22, 23, 20, 26, 17, 26, 18, 17, 27, 20, 22, 19, 22, 20, 28, 25, 23, 20, 24, 21, 29, 21, 31, 24, 37, 16]"
8,U0t0KVifKtifyEF3ZERjjg_0000,"[29, 23, 34, 25, 13, 18, 19, 17, 21, 19, 28, 17, 19, 24, 15, 21, 30, 28, 29, 17, 24, 18, 14, 37, 24, 12, 19, 20, 20, 22, 27, 15, 19, 19, 14, 23, 25, 24, 27, 28, 28, 12, 23, 22, 15, 25, 15, 26, 25, 30]"
9,LMYf46hDLP2TL4-9hTfybA_0000,"[15, 19, 21, 23, 21, 21, 32, 14, 29, 24, 33, 18, 16, 23, 19, 23, 31, 18, 26, 16, 23, 25, 30, 22, 30, 22, 23, 27, 16, 28, 22, 22, 17, 24, 24, 22, 16, 23, 33, 24, 27, 28, 31, 26, 18, 29, 28, 25, 33, 27]"
10,2Bb9vlUjX4OD-ImYtOrmMQ_0000,"[8, 12, 11, 12, 10, 9, 7, 16, 11, 9, 21, 10, 14, 11, 11, 7, 18, 21, 10, 12, 9, 9, 13, 9, 13, 9, 10, 12, 12, 10, 9, 8, 16, 9, 18, 8, 11, 11, 30, 11, 9, 11, 11, 11, 11, 20, 11, 12, 11, 11]"
11,mK8IGYA990aglxKxFkqR8w_0000,"[25, 33, 31, 22, 8, 10, 41, 27, 6, 10, 12, 11, 22, 13, 16, 5, 19, 7, 14, 13, 11, 24, 38, 12, 34, 11, 12, 28, 33, 12, 8, 11, 32, 11, 27, 13, 29, 5, 35, 23, 15, 13, 38, 13, 12, 35, 6, 6, 12, 12]"
12,1q2C7dpchqX8mG5H7Bq8SQ_0000,"[50, 47, 36, 45, 25, 46, 40, 33, 47, 37, 35, 20, 39, 26, 47, 34, 29, 42, 43, 40, 38, 30, 27, 43, 40, 50, 26, 33, 34, 36, 50, 38, 43, 32, 32, 48, 31, 43, 37, 50, 48, 47, 48, 31, 36, 34, 32, 50, 38, 49]"
13,5hFOBOdKZYuiuJIoaROBEQ_0000,"[35, 26, 33, 30, 28, 26, 23, 18, 46, 40, 46, 22, 48, 25, 35, 18, 26, 45, 33, 24, 33, 39, 28, 25, 33, 32, 17, 35, 43, 34, 45, 19, 24, 36, 44, 16, 19, 21, 43, 22, 29, 36, 49, 29, 32, 42, 24, 19, 40, 34]"
14,NKrOo77oWDQ9Rl-v0WgvXQ_0000,"[12, 3, 6, 5, 31, 5, 4, 19, 5, 8, 47, 24, 5, 6, 5, 15, 11, 5, 41, 5, 4, 6, 5, 8, 4, 35, 18, 41, 44, 6, 15, 42, 4, 8, 12, 31, 37, 9, 10, 4, 4, 8, 10, 9, 4, 9, 5, 41, 5, 5]"
15,WRD8E46odP3qIkjfZx8lHw_0000,"[38, 38, 40, 34, 30, 27, 36, 39, 42, 30, 39, 26, 41, 35, 38, 24, 32, 43, 32, 43, 37, 43, 42, 42, 44, 33, 28, 32, 35, 33, 46, 36, 37, 26, 30, 41, 32, 40, 41, 32, 33, 37, 45, 32, 42, 39, 33, 36, 39, 42]"
16,5K8EjJp1RfmIliYqlxm9aQ_0000,"[49, 43, 49, 44, 38, 42, 43, 47, 50, 48, 44, 47, 44, 39, 39, 45, 48, 50, 48, 32, 49, 49, 47, 48, 47, 47, 43, 44, 48, 45, 47, 45, 45, 45, 45, 43, 49, 45, 44, 42, 36, 40, 46, 47, 45, 48, 48, 49, 46, 41]"
17,BTxF8XsRj3WWgs2WR5UIag_0000,"[27, 21, 16, 13, 14, 11, 15, 30, 24, 16, 26, 15, 17, 15, 23, 9, 15, 27, 15, 14, 16, 19, 22, 45, 32, 26, 16, 15, 19, 21, 10, 24, 20, 12, 20, 12, 28, 16, 31, 18, 18, 18, 25, 16, 16, 24, 16, 22, 29, 15]"
18,n4rsSZuYuydcPpcu0350tg_0000,"[19, 16, 19, 18, 22, 22, 20, 21, 23, 20, 13, 21, 25, 16, 26, 13, 17, 13, 16, 19, 18, 20, 29, 24, 21, 24, 9, 16, 11, 25, 14, 12, 25, 14, 15, 9, 18, 10, 29, 17, 32, 17, 26, 25, 25, 23, 23, 20, 22, 19]"
19,IRY5LmtkXplEjrHdPKQ9uQ_0000,"[47, 27, 39, 39, 23, 33, 47, 32, 32, 32, 38, 25, 40, 44, 40, 27, 28, 40, 40, 34, 41, 42, 36, 27, 43, 31, 42, 24, 45, 24, 36, 41, 39, 37, 35, 30, 20, 31, 46, 43, 34, 30, 39, 42, 13, 36, 46, 37, 42, 37]"
20,BtUJXTKPdBFWUY0PvNLyiA_0000,"[16, 32, 17, 42, 20, 45, 22, 26, 33, 36, 10, 44, 15, 48, 41, 17, 12, 25, 42, 31, 20, 21, 25, 19, 19, 13, 11, 23, 46, 43, 19, 13, 50, 47, 10, 10, 27, 36, 47, 13, 35, 38, 14, 8, 24, 14, 14, 21, 19, 14]"
