,PERSON_ID,RANKINGS
0,ilBGBbpXwsc3FqI0JBMnKA_0000,"[27, 11, 16, 14, 8, 8, 7, 10, 7, 22, 20, 9, 21, 16, 8, 9, 10, 6, 10, 11, 19, 20, 19, 11, 17, 9, 11, 10, 12, 9, 8, 31, 14, 7, 11, 27, 9, 8, 14, 18, 10, 12, 13, 9, 9, 13, 6, 12, 13, 9]"
1,Q4O5YWf6YdJl8dV8F8lYlg_0000,"[43, 38, 38, 39, 40, 33, 40, 40, 44, 36, 37, 39, 43, 39, 41, 31, 40, 39, 32, 38, 35, 34, 40, 30, 39, 41, 38, 34, 39, 37, 39, 36, 39, 42, 38, 32, 38, 37, 34, 42, 42, 42, 30, 40, 39, 41, 38, 35, 44, 42]"
2,S9KxVR7VMgJ67wbSxZKQIA_0000,"[11, 13, 7, 11, 12, 12, 11, 11, 11, 8, 11, 10, 20, 10, 12, 8, 7, 12, 11, 17, 12, 5, 17, 15, 6, 13, 9, 13, 10, 13, 10, 7, 8, 9, 5, 4, 15, 7, 4, 7, 14, 13, 4, 11, 14, 15, 12, 9, 9, 12]"
3,37Zv936zd9VZ9zjjKd7BRQ_0000,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
4,WoFu5YvFKzP-TnbinRe6Bw_0000,"[21, 18, 21, 23, 23, 22, 21, 18, 9, 18, 17, 24, 13, 26, 36, 23, 22, 22, 25, 28, 18, 23, 23, 20, 21, 21, 23, 23, 22, 19, 26, 18, 25, 20, 24, 24, 25, 22, 24, 17, 25, 21, 23, 21, 29, 25, 35, 16, 26, 23]"
5,6S7gmX8BoPxL0hcM884PSw_0000,"[49, 7, 17, 10, 10, 9, 27, 35, 23, 35, 34, 19, 8, 6, 37, 24, 39, 5, 6, 5, 5, 30, 8, 6, 10, 10, 37, 9, 9, 12, 17, 41, 17, 27, 34, 7, 10, 43, 13, 6, 9, 10, 33, 35, 10, 12, 31, 14, 7, 11]"
6,fBvFQHHoppe7NDssMNTasg_0000,"[5, 3, 4, 9, 5, 10, 4, 5, 8, 4, 10, 5, 7, 5, 9, 6, 5, 8, 4, 8, 9, 6, 9, 9, 4, 4, 4, 4, 4, 4, 36, 9, 4, 3, 7, 5, 4, 4, 5, 8, 3, 4, 8, 4, 5, 10, 4, 5, 6, 3]"
7,-MTgMV87rZh9YtJQMZprFQ_0000,"[25, 36, 36, 40, 31, 32, 38, 31, 29, 40, 18, 33, 37, 27, 34, 18, 30, 35, 28, 30, 36, 32, 34, 29, 34, 34, 31, 25, 33, 26, 25, 20, 29, 36, 19, 38, 37, 19, 40, 28, 26, 31, 42, 28, 36, 18, 16, 30, 21, 27]"
8,0AfddYRjBP4ZTnwqkfRt3A_0000,"[46, 44, 39, 46, 46, 46, 43, 44, 45, 47, 46, 46, 41, 45, 48, 45, 49, 46, 46, 41, 42, 45, 42, 48, 45, 37, 44, 48, 47, 41, 47, 45, 44, 45, 45, 45, 42, 44, 45, 46, 47, 45, 46, 49, 45, 46, 44, 44, 45, 44]"
9,5EqiIcNZz3mAOQMcquCOtA_0000,"[50, 46, 45, 45, 42, 40, 46, 46, 47, 45, 44, 43, 48, 43, 46, 41, 46, 42, 44, 40, 45, 49, 45, 43, 48, 44, 42, 43, 46, 49, 46, 46, 47, 44, 42, 47, 40, 48, 49, 39, 48, 46, 47, 43, 48, 43, 45, 48, 47, 45]"
10,0B5ctklbmLItv913Uud3XA_0000,"[32, 41, 40, 42, 39, 43, 42, 42, 39, 38, 38, 42, 40, 41, 43, 40, 42, 41, 35, 42, 38, 46, 33, 37, 46, 40, 41, 41, 38, 39, 41, 44, 42, 39, 39, 43, 43, 41, 38, 41, 41, 39, 36, 41, 40, 44, 24, 36, 40, 41]"
11,55aRygRJdzp2VtNWTryWrQ_0000,"[19, 24, 12, 24, 17, 14, 22, 16, 13, 9, 21, 17, 23, 23, 38, 14, 11, 21, 18, 24, 20, 18, 18, 36, 23, 28, 19, 22, 11, 16, 13, 14, 6, 19, 9, 33, 23, 9, 8, 19, 17, 32, 12, 22, 21, 27, 14, 10, 14, 29]"
12,Le363j6KCaMGTXKh9-JCTA_0000,"[16, 29, 37, 36, 37, 38, 31, 39, 22, 29, 31, 37, 26, 31, 17, 27, 23, 40, 26, 36, 31, 31, 35, 39, 27, 31, 33, 31, 35, 34, 29, 16, 38, 26, 25, 35, 28, 16, 36, 31, 27, 35, 40, 32, 24, 32, 36, 26, 37, 32]"
13,TOHLJNf-yqjRa5VH4fKg8w_0000,"[41, 49, 47, 41, 43, 45, 41, 45, 40, 43, 39, 45, 44, 46, 45, 44, 41, 48, 47, 43, 43, 44, 44, 42, 40, 46, 48, 42, 43, 45, 44, 43, 41, 47, 44, 44, 46, 38, 47, 43, 40, 47, 35, 42, 43, 45, 47, 39, 41, 39]"
14,1fy45LJPJxZLtudkVDRziA_0000,"[35, 37, 9, 25, 25, 15, 24, 32, 30, 7, 26, 29, 38, 7, 13, 25, 13, 15, 29, 31, 13, 21, 30, 14, 14, 26, 25, 30, 36, 17, 14, 5, 27, 23, 26, 18, 36, 15, 26, 24, 15, 24, 29, 34, 11, 33, 15, 23, 12, 17]"
15,6tUZtwpDxINSyFZfvT6GuQ_0000,"[36, 26, 30, 34, 33, 27, 25, 29, 26, 31, 30, 32, 30, 25, 24, 21, 25, 25, 21, 23, 25, 19, 39, 35, 19, 24, 22, 21, 32, 31, 19, 33, 20, 29, 18, 22, 26, 24, 29, 21, 37, 23, 27, 24, 35, 31, 26, 29, 38, 28]"
16,kbFqFSqYNmXHhZJuR539XA_0000,"[24, 28, 27, 37, 28, 35, 32, 28, 28, 41, 28, 27, 25, 34, 32, 28, 26, 27, 27, 25, 33, 27, 29, 33, 29, 32, 20, 37, 26, 35, 30, 37, 33, 31, 43, 36, 33, 29, 28, 26, 31, 33, 41, 26, 25, 28, 34, 25, 29, 26]"
