,PERSON_ID,RANKINGS
0,qhkLiemjrri0kNDnN25X6g_0000,"[49, 44, 50, 40, 49, 49, 41, 48, 49, 50, 48, 47, 50, 49, 48, 43, 50, 49, 49, 50, 50, 48, 50, 50, 48, 50, 47, 47, 46, 50, 49, 50, 42, 50, 50, 49, 45, 47, 48, 50, 46, 50, 49, 50, 45, 48, 48, 50, 50, 48]"
1,uYC-6LQ-ZW6YyH5eDGPQSw_0000,"[33, 18, 12, 9, 20, 12, 12, 10, 17, 13, 17, 12, 20, 11, 23, 24, 14, 8, 11, 46, 14, 7, 3, 18, 6, 9, 12, 19, 17, 16, 14, 19, 10, 25, 12, 13, 18, 15, 11, 11, 29, 19, 16, 14, 7, 18, 14, 14, 14, 21]"
2,6iZceJ9Yuq5TYuImF4bckQ_0000,"[30, 23, 29, 33, 23, 15, 13, 11, 25, 17, 15, 22, 34, 22, 22, 26, 29, 10, 24, 47, 26, 8, 14, 16, 11, 22, 26, 20, 26, 25, 29, 21, 12, 28, 20, 29, 25, 22, 22, 24, 32, 32, 17, 20, 36, 19, 16, 24, 18, 31]"
3,mWgCv1dnOoDgW1Z5r68vHg_0000,"[14, 1, 1, 1, 7, 1, 1, 7, 7, 6, 1, 1, 6, 7, 9, 8, 1, 6, 8, 1, 9, 1, 1, 1, 1, 7, 5, 1, 1, 1, 7, 7, 7, 5, 7, 7, 1, 6, 8, 7, 7, 17, 4, 6, 1, 1, 13, 9, 1, 6]"
4,-J-HXqFl8hPpOHKyIjkMBQ_0000,"[10, 2, 2, 2, 8, 2, 2, 6, 8, 7, 2, 2, 7, 8, 10, 7, 2, 7, 9, 2, 10, 2, 2, 2, 2, 8, 7, 2, 2, 2, 8, 8, 8, 6, 8, 8, 2, 7, 9, 8, 8, 14, 5, 7, 2, 2, 12, 11, 2, 8]"
5,3vQBDJB0nlcaqs0gJZTrTA_0000,"[50, 45, 49, 48, 43, 48, 31, 47, 48, 18, 39, 48, 49, 43, 30, 45, 27, 50, 50, 38, 49, 49, 49, 45, 49, 29, 48, 39, 38, 45, 43, 40, 46, 49, 28, 50, 40, 46, 49, 28, 41, 49, 50, 37, 33, 50, 49, 43, 30, 49]"
6,lSNk785O21eGiY4hh9j4xQ_0000,"[26, 26, 23, 7, 38, 26, 22, 18, 27, 19, 26, 17, 14, 23, 21, 13, 15, 18, 31, 13, 28, 15, 7, 9, 25, 24, 28, 23, 22, 10, 26, 13, 27, 24, 14, 25, 19, 24, 23, 10, 28, 24, 25, 29, 16, 20, 25, 21, 17, 9]"
7,RpiFJNa6JPONpTlZswx3lw_0000,"[15, 11, 30, 8, 10, 8, 18, 12, 20, 9, 14, 19, 16, 10, 17, 11, 21, 9, 10, 14, 15, 9, 4, 12, 7, 10, 11, 22, 13, 11, 10, 9, 9, 8, 11, 9, 10, 14, 10, 13, 10, 16, 11, 21, 6, 10, 15, 15, 3, 10]"
8,4axPG0qod5E4GQa2OoY4yQ_0000,"[28, 20, 20, 21, 37, 27, 15, 19, 21, 10, 27, 20, 21, 24, 18, 27, 22, 15, 30, 16, 29, 10, 6, 14, 10, 13, 25, 24, 20, 13, 24, 20, 28, 22, 15, 23, 16, 23, 20, 14, 30, 28, 19, 18, 21, 13, 23, 16, 16, 33]"
9,ILTjEE9IOq1-B635vZ2tYA_0000,"[35, 27, 28, 19, 41, 32, 27, 23, 28, 25, 38, 30, 29, 37, 29, 35, 33, 16, 14, 28, 25, 11, 34, 42, 18, 21, 32, 29, 35, 27, 32, 38, 21, 26, 32, 30, 30, 36, 26, 29, 31, 33, 31, 35, 32, 31, 18, 31, 23, 32]"
10,Odaq88Mu-bsb757u8QIzGw_0000,"[27, 19, 21, 22, 18, 36, 16, 20, 19, 14, 16, 15, 26, 16, 19, 25, 31, 17, 12, 11, 23, 14, 10, 15, 27, 23, 14, 18, 21, 17, 17, 22, 25, 20, 16, 16, 17, 16, 21, 21, 20, 15, 21, 16, 14, 30, 30, 17, 15, 23]"
11,fN5E4ikxqAXnrw1Uud9g4Q_0000,"[23, 9, 24, 14, 14, 10, 14, 21, 12, 11, 9, 13, 11, 14, 15, 9, 10, 11, 15, 12, 20, 12, 11, 13, 17, 18, 17, 14, 14, 8, 18, 11, 23, 13, 9, 14, 14, 12, 16, 12, 25, 18, 24, 17, 12, 11, 10, 12, 10, 22]"
12,2zchevo0j3jOaa0pGw5PbQ_0000,"[24, 10, 27, 23, 13, 13, 17, 16, 13, 12, 10, 14, 12, 13, 16, 10, 11, 12, 16, 10, 21, 13, 12, 19, 14, 19, 18, 15, 15, 9, 13, 12, 15, 16, 10, 15, 13, 11, 17, 15, 18, 42, 20, 12, 13, 12, 11, 18, 13, 24]"
13,R50oZ2AdvHw1l4WxR5VWGw_0000,"[48, 50, 48, 50, 50, 46, 47, 46, 50, 48, 49, 50, 48, 50, 49, 50, 49, 48, 48, 49, 47, 47, 47, 49, 50, 49, 49, 50, 50, 46, 50, 48, 47, 46, 49, 47, 50, 48, 50, 49, 50, 47, 48, 48, 50, 47, 50, 47, 48, 50]"
