,PERSON_ID,RANKINGS
0,qhkLiemjrri0kNDnN25X6g_0000,"[43, 39, 33, 24, 38, 38, 28, 29, 31, 20, 32, 27, 39, 34, 41, 22, 42, 29, 25, 30, 32, 25, 36, 25, 26, 29, 28, 20, 38, 28, 25, 25, 40, 24, 23, 25, 38, 17, 23, 31, 32, 32, 23, 37, 25, 27, 22, 25, 41, 24]"
1,-J-HXqFl8hPpOHKyIjkMBQ_0000,"[5, 4, 3, 3, 3, 5, 4, 5, 3, 4, 4, 4, 5, 5, 5, 3, 3, 3, 4, 4, 4, 4, 3, 4, 3, 4, 4, 3, 5, 5, 5, 5, 4, 4, 5, 3, 4, 4, 4, 4, 5, 4, 4, 5, 6, 4, 3, 3, 4, 5]"
2,rqge6mH6WDTec2o0juZ2uw_0000,"[44, 41, 39, 39, 42, 41, 37, 35, 37, 38, 39, 40, 41, 35, 42, 41, 41, 34, 33, 44, 36, 38, 41, 38, 44, 32, 42, 42, 41, 46, 40, 34, 41, 38, 40, 42, 40, 35, 35, 42, 36, 42, 42, 40, 32, 40, 32, 42, 40, 38]"
3,4eWVTSM2p4NvpfeltbsyWg_0000,"[25, 24, 26, 20, 24, 31, 23, 27, 23, 29, 30, 22, 24, 27, 22, 28, 27, 26, 26, 24, 22, 32, 23, 28, 32, 28, 33, 26, 23, 37, 28, 21, 21, 30, 29, 28, 26, 27, 28, 25, 27, 24, 28, 24, 36, 23, 29, 31, 26, 31]"
4,qLzBWJZgByspAt2QsLqcTg_0000,"[2, 2, 1, 2, 2, 2, 2, 1, 2, 1, 2, 1, 1, 1, 2, 2, 2, 2, 1, 1, 2, 1, 5, 2, 1, 1, 2, 1, 2, 1, 2, 2, 1, 1, 1, 2, 1, 1, 2, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1]"
5,2zchevo0j3jOaa0pGw5PbQ_0000,"[6, 5, 5, 7, 4, 6, 5, 3, 5, 6, 5, 5, 3, 4, 4, 4, 5, 6, 5, 3, 8, 3, 4, 5, 6, 3, 5, 5, 3, 4, 6, 8, 6, 3, 3, 5, 5, 6, 5, 5, 3, 6, 5, 4, 5, 5, 5, 4, 5, 4]"
6,lSNk785O21eGiY4hh9j4xQ_0000,"[20, 13, 14, 16, 21, 16, 15, 10, 12, 9, 15, 9, 14, 13, 12, 13, 26, 18, 17, 18, 25, 12, 17, 12, 8, 15, 22, 24, 19, 20, 22, 12, 15, 12, 15, 15, 23, 13, 21, 12, 22, 10, 17, 21, 20, 10, 14, 10, 24, 23]"
7,4axPG0qod5E4GQa2OoY4yQ_0000,"[22, 21, 17, 33, 10, 19, 16, 24, 14, 14, 23, 25, 16, 32, 15, 16, 16, 21, 13, 15, 27, 28, 28, 20, 22, 23, 23, 23, 22, 25, 21, 27, 12, 17, 25, 13, 24, 26, 22, 21, 16, 22, 19, 13, 28, 15, 16, 9, 14, 14]"
8,uYC-6LQ-ZW6YyH5eDGPQSw_0000,"[12, 6, 6, 6, 5, 3, 9, 9, 7, 7, 6, 6, 8, 8, 3, 6, 6, 8, 6, 7, 5, 6, 9, 7, 13, 9, 6, 6, 10, 6, 8, 7, 5, 8, 9, 6, 6, 7, 7, 9, 6, 5, 7, 6, 7, 7, 8, 8, 8, 6]"
9,PhYlvmukUr56sUUQravsnw_0000,"[35, 32, 35, 40, 34, 25, 39, 39, 40, 36, 45, 37, 37, 36, 31, 36, 37, 39, 38, 33, 43, 35, 31, 35, 37, 44, 37, 37, 30, 29, 41, 42, 31, 34, 35, 34, 36, 40, 39, 38, 42, 35, 34, 30, 30, 45, 40, 29, 34, 36]"
10,fzX3ikFjRBSvemGq6dLNWg_0000,"[50, 50, 48, 44, 50, 50, 49, 50, 44, 50, 50, 49, 50, 50, 50, 46, 48, 50, 48, 46, 50, 50, 50, 45, 50, 49, 50, 46, 50, 50, 50, 39, 50, 50, 49, 50, 48, 50, 50, 49, 50, 50, 50, 50, 50, 50, 50, 50, 50, 49]"
11,-cLyvKX6Kj52NyKVnF40Gg_0000,"[41, 42, 38, 38, 40, 43, 41, 33, 36, 41, 46, 35, 44, 42, 43, 40, 39, 36, 45, 38, 31, 39, 35, 47, 46, 39, 43, 30, 42, 48, 43, 35, 44, 39, 37, 47, 42, 38, 36, 41, 37, 47, 40, 41, 34, 39, 33, 44, 39, 41]"
12,QFQiCMYuVB2tMl9l2VxBXg_0000,"[28, 28, 40, 47, 26, 32, 43, 34, 26, 31, 34, 31, 30, 26, 25, 39, 30, 43, 30, 43, 37, 31, 42, 40, 29, 37, 34, 40, 27, 34, 31, 47, 22, 41, 42, 31, 29, 39, 30, 35, 28, 27, 31, 27, 39, 34, 44, 34, 29, 33]"
13,Y-sMsCe0VWXn7Yu4Xvgfpw_0000,"[23, 23, 31, 27, 28, 23, 29, 36, 33, 33, 36, 33, 25, 37, 28, 33, 35, 30, 41, 32, 40, 27, 29, 32, 35, 31, 39, 35, 28, 23, 36, 43, 28, 33, 34, 38, 31, 37, 37, 37, 30, 37, 37, 32, 41, 33, 30, 37, 31, 34]"
14,t6eHJ8Lt9CWJRtE1U2Ha2A_0000,"[21, 20, 16, 17, 14, 20, 13, 23, 15, 13, 27, 18, 13, 20, 14, 17, 17, 19, 12, 17, 12, 15, 19, 21, 15, 19, 13, 21, 17, 17, 17, 15, 11, 14, 17, 11, 20, 22, 18, 20, 17, 21, 14, 14, 18, 16, 17, 12, 13, 16]"
15,TaxViZmLUnf1qgK5QK-YpQ_0000,"[9, 7, 7, 9, 8, 10, 10, 6, 10, 8, 10, 10, 6, 7, 7, 9, 8, 4, 10, 9, 9, 8, 10, 8, 7, 6, 7, 7, 6, 8, 3, 3, 10, 13, 6, 9, 11, 5, 8, 7, 10, 7, 9, 11, 9, 11, 6, 11, 7, 10]"
