,PERSON_ID,RANKINGS
0,cKA39lCIepkZBIyFJosBkA_0000,"[41, 50, 36, 33, 30, 47, 38, 43, 43, 21, 32, 30, 39, 48, 39, 35, 49, 49, 47, 43, 46, 40, 37, 33, 49, 48, 41, 50, 35, 50, 40, 42, 49, 41, 30, 49, 36, 40, 50, 29, 43, 45, 42, 40, 41, 34, 41, 50, 41, 50]"
1,SJplSIwcbH2tQsbK5iSr6Q_0000,"[36, 19, 40, 20, 35, 19, 39, 21, 14, 37, 19, 35, 32, 38, 16, 33, 31, 19, 22, 14, 9, 38, 20, 23, 23, 26, 23, 31, 23, 18, 39, 38, 30, 27, 33, 34, 26, 28, 39, 16, 20, 14, 29, 29, 26, 39, 35, 37, 20, 30]"
2,axJB5LDGkoRCc5k90EH0gg_0000,"[29, 34, 29, 11, 26, 37, 31, 31, 48, 20, 41, 26, 16, 27, 13, 30, 19, 21, 11, 15, 33, 20, 31, 27, 32, 33, 20, 38, 29, 30, 32, 29, 31, 38, 23, 27, 30, 44, 28, 24, 31, 29, 35, 34, 34, 30, 19, 27, 23, 43]"
3,69RAA6O4Eoo3zwDvPhYkaA_0000,"[1, 4, 1, 5, 2, 2, 4, 1, 6, 4, 4, 3, 1, 1, 5, 3, 5, 2, 2, 5, 4, 6, 3, 3, 4, 3, 4, 4, 4, 7, 5, 2, 7, 3, 2, 4, 5, 3, 4, 3, 6, 2, 1, 3, 3, 2, 3, 2, 2, 2]"
4,n62we8GGwqd70EwlPmHpNA_0000,"[35, 31, 26, 32, 36, 20, 25, 30, 18, 39, 20, 36, 37, 37, 29, 41, 25, 35, 23, 32, 29, 37, 39, 36, 16, 24, 33, 32, 41, 33, 20, 36, 36, 26, 36, 39, 27, 27, 37, 38, 24, 28, 32, 17, 33, 38, 37, 26, 29, 32]"
5,-rWn0cx8HoB16moRJh2nWg_0000,"[34, 38, 35, 37, 28, 36, 37, 44, 44, 19, 33, 29, 41, 33, 38, 40, 44, 26, 28, 41, 34, 33, 36, 31, 42, 47, 38, 39, 34, 49, 37, 35, 37, 40, 29, 47, 31, 41, 32, 30, 33, 39, 40, 37, 40, 32, 24, 33, 42, 49]"
6,vgluPrPHNPl0T4vKGDKXsQ_0000,"[14, 10, 24, 9, 31, 14, 26, 11, 15, 32, 13, 33, 12, 17, 11, 14, 15, 20, 9, 23, 6, 14, 18, 25, 14, 20, 13, 14, 19, 13, 11, 13, 18, 24, 31, 12, 24, 14, 21, 18, 18, 13, 13, 14, 24, 13, 14, 16, 15, 10]"
7,BV1ihgX8IwhGDmTVT0UyaQ_0000,"[40, 37, 42, 41, 44, 40, 41, 37, 42, 36, 45, 40, 36, 41, 40, 42, 41, 39, 37, 44, 42, 36, 42, 37, 37, 40, 34, 40, 43, 43, 42, 41, 43, 32, 42, 38, 42, 36, 49, 41, 39, 38, 43, 42, 44, 47, 39, 41, 40, 42]"
8,EUD-wcm7-TstxppqY74KVw_0000,"[15, 13, 25, 19, 32, 15, 15, 12, 16, 31, 12, 34, 11, 16, 12, 15, 12, 16, 14, 22, 10, 15, 16, 24, 12, 19, 12, 13, 18, 14, 12, 14, 17, 23, 32, 13, 23, 13, 20, 17, 19, 12, 12, 15, 25, 12, 15, 17, 16, 27]"
9,xUXyaZylJ42FJ3NF6DTtMQ_0000,"[4, 3, 4, 6, 5, 1, 2, 3, 2, 2, 3, 2, 4, 5, 2, 2, 2, 3, 4, 4, 3, 2, 4, 5, 3, 2, 2, 1, 2, 3, 3, 4, 2, 4, 3, 3, 1, 2, 2, 4, 3, 3, 4, 2, 4, 3, 4, 4, 4, 1]"
10,9aDIq0qb4gc-6fRDKIqbUg_0000,"[3, 5, 3, 7, 6, 3, 6, 2, 7, 7, 2, 7, 2, 4, 4, 4, 4, 4, 5, 3, 5, 4, 2, 6, 5, 6, 3, 5, 5, 2, 6, 3, 3, 2, 4, 6, 6, 5, 5, 6, 2, 4, 3, 4, 2, 4, 2, 3, 3, 3]"
