,PERSON_ID,RANKINGS
0,edQUnXKfPpkIRS4J0TbSWQ_0000,"[50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 49, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 48, 49, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 49, 50, 50, 48, 50, 50, 49, 50, 50, 50, 48, 50, 50, 50, 50, 50]"
1,etE2ZFvDjqFYf1ArZBrVdA_0000,"[26, 18, 33, 27, 46, 1, 22, 30, 36, 25, 20, 30, 20, 1, 30, 22, 21, 26, 23, 41, 19, 27, 31, 1, 24, 36, 32, 28, 29, 21, 18, 20, 18, 1, 21, 1, 34, 24, 43, 30, 38, 22, 29, 17, 19, 22, 25, 45, 1, 17]"
2,n0gvPLgr1XlooAqYMU8yVQ_0000,"[17, 17, 16, 14, 16, 21, 21, 25, 22, 14, 17, 25, 16, 16, 15, 21, 14, 7, 15, 18, 15, 17, 20, 19, 22, 21, 14, 19, 23, 14, 17, 17, 17, 17, 12, 15, 19, 19, 23, 12, 17, 17, 26, 16, 13, 19, 14, 16, 15, 15]"
3,gav0ZHdg23pN6ZgEivKB3A_0000,"[46, 24, 49, 46, 19, 43, 24, 34, 44, 34, 45, 45, 46, 42, 41, 45, 35, 46, 16, 44, 48, 30, 49, 31, 46, 47, 21, 48, 31, 46, 48, 49, 46, 28, 50, 30, 45, 49, 46, 47, 44, 27, 32, 48, 50, 48, 48, 46, 49, 21]"
4,pgYjiruRsscHTPGQ4jYnpA_0000,"[41, 46, 47, 47, 47, 48, 44, 47, 46, 48, 46, 47, 36, 44, 44, 47, 47, 47, 45, 45, 46, 44, 45, 47, 47, 41, 43, 47, 44, 47, 46, 45, 47, 45, 45, 48, 47, 46, 47, 45, 46, 39, 48, 43, 45, 46, 46, 47, 48, 48]"
5,3JvKSFEKyORhHISIiLUJBg_0000,"[47, 40, 48, 45, 45, 47, 40, 40, 47, 43, 44, 49, 48, 48, 45, 46, 49, 45, 46, 47, 45, 41, 50, 41, 45, 46, 45, 45, 40, 45, 45, 44, 45, 48, 43, 46, 46, 50, 45, 43, 42, 47, 43, 45, 42, 44, 44, 44, 35, 46]"
6,LBn1Jlxvhb3B6ocZJxN3Hg_0000,"[49, 49, 45, 49, 49, 49, 49, 49, 49, 49, 48, 48, 49, 47, 48, 49, 48, 49, 49, 48, 49, 49, 47, 48, 48, 49, 48, 49, 49, 49, 49, 47, 49, 49, 48, 49, 49, 47, 49, 48, 48, 49, 49, 49, 47, 49, 49, 49, 47, 49]"
7,9zoBtoKFnqdFkt308ilYcg_0000,"[3, 1, 23, 1, 1, 2, 1, 6, 11, 3, 10, 3, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 13, 1, 1, 10, 3, 1, 3, 1, 1, 2, 1, 2, 1, 1, 1, 1, 3, 1, 1, 3, 1, 1, 3, 3, 2, 1]"
8,NfTUWy7CNBmIl5AnK7O9fQ_0000,"[48, 47, 46, 48, 48, 46, 48, 48, 48, 47, 47, 46, 47, 46, 47, 48, 46, 48, 48, 49, 47, 46, 46, 46, 49, 48, 49, 46, 48, 48, 47, 46, 48, 43, 47, 47, 48, 45, 48, 44, 47, 48, 47, 47, 46, 47, 47, 48, 46, 47]"
9,A65yI51apjnT5EUoEVgIWg_0000,"[1, 3, 3, 2, 2, 3, 2, 3, 3, 1, 3, 2, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 2, 2, 3, 1, 3, 1, 2, 2, 3, 3, 3, 3, 2, 3, 2, 2, 3, 3, 1, 2, 3, 1, 2, 3, 3]"
10,Truyb9riNOVOuPhTyEVzZw_0000,"[2, 2, 2, 3, 3, 4, 3, 2, 2, 2, 2, 1, 2, 4, 3, 2, 2, 1, 2, 2, 2, 2, 3, 4, 2, 3, 3, 2, 2, 2, 2, 3, 3, 4, 2, 4, 2, 3, 2, 3, 1, 2, 2, 2, 3, 2, 2, 1, 4, 2]"
11,QeRo0W1KCGLz9raVaWHWbA_0000,"[44, 39, 43, 43, 44, 40, 37, 45, 42, 44, 42, 40, 44, 49, 49, 42, 44, 44, 47, 40, 43, 47, 43, 45, 43, 42, 41, 43, 43, 42, 42, 41, 42, 39, 40, 35, 37, 41, 39, 49, 40, 45, 44, 40, 40, 39, 45, 40, 40, 43]"
12,zM42Tbi6C4Erb92gBzCKuQ_0000,"[43, 48, 42, 44, 43, 41, 47, 46, 43, 45, 43, 44, 45, 45, 46, 43, 45, 42, 44, 46, 44, 45, 44, 43, 44, 43, 44, 44, 45, 43, 43, 42, 43, 47, 46, 45, 44, 44, 44, 46, 45, 46, 46, 42, 41, 42, 43, 42, 42, 44]"
13,-G8p28BYonCRfSeZLgHNag_0000,"[39, 34, 24, 16, 33, 20, 23, 35, 27, 41, 32, 18, 19, 34, 32, 30, 15, 27, 25, 27, 16, 26, 22, 28, 20, 22, 22, 30, 24, 39, 26, 28, 20, 44, 25, 37, 17, 28, 29, 21, 14, 40, 25, 32, 22, 24, 22, 23, 26, 45]"
14,tVFarO5ogVAgvJRih6KCWg_0000,"[18, 19, 22, 24, 30, 22, 27, 19, 24, 23, 27, 19, 21, 28, 25, 23, 22, 18, 19, 25, 20, 22, 25, 18, 19, 25, 27, 29, 26, 22, 19, 18, 19, 24, 20, 16, 25, 25, 25, 19, 27, 23, 27, 22, 20, 23, 24, 27, 22, 18]"
15,E3c-l0b8kUM4qOYBh95teg_0000,"[16, 12, 21, 17, 13, 16, 13, 15, 12, 9, 14, 16, 18, 12, 14, 20, 17, 17, 14, 16, 18, 18, 21, 17, 18, 23, 13, 15, 21, 12, 12, 19, 16, 15, 11, 11, 20, 13, 15, 10, 13, 16, 19, 15, 21, 15, 16, 17, 20, 12]"
16,AtgrXAMqacm70yGBml37Lw_0000,"[27, 31, 28, 29, 29, 31, 31, 31, 23, 29, 33, 26, 25, 23, 28, 19, 26, 28, 33, 24, 31, 31, 28, 25, 21, 26, 33, 27, 27, 41, 27, 27, 30, 19, 23, 31, 31, 22, 31, 18, 31, 30, 16, 29, 23, 27, 27, 30, 28, 23]"
17,gfI42jq5QODPkK5HhjVcRA_0000,"[31, 32, 39, 21, 32, 23, 41, 36, 28, 32, 15, 37, 32, 32, 33, 31, 32, 29, 28, 26, 17, 24, 32, 29, 17, 28, 23, 36, 32, 40, 28, 33, 39, 23, 24, 32, 21, 20, 30, 20, 18, 31, 20, 24, 24, 26, 19, 31, 44, 24]"
18,bB6ZazX1M2wY3oYvgAdY-A_0000,"[32, 41, 44, 36, 39, 44, 33, 43, 37, 38, 35, 38, 40, 33, 39, 32, 41, 34, 32, 37, 36, 38, 42, 37, 36, 32, 39, 40, 42, 31, 40, 34, 38, 34, 32, 33, 38, 34, 35, 37, 35, 36, 45, 36, 35, 37, 40, 34, 43, 39]"
19,K8OGajay4tLd4lcKypZgbg_0000,"[40, 36, 38, 40, 40, 37, 34, 41, 33, 33, 36, 39, 39, 35, 35, 34, 36, 35, 34, 38, 38, 36, 37, 33, 39, 35, 36, 39, 46, 34, 36, 35, 36, 36, 33, 39, 39, 38, 36, 38, 32, 37, 31, 38, 36, 36, 36, 39, 33, 34]"
20,zMxeB09d7mBSMIKEzGTBvg_0000,"[38, 37, 26, 42, 41, 45, 39, 23, 39, 35, 37, 32, 29, 37, 42, 35, 40, 37, 36, 42, 41, 43, 34, 38, 27, 33, 28, 37, 47, 30, 35, 40, 35, 29, 39, 34, 35, 36, 34, 40, 37, 24, 35, 31, 39, 34, 39, 37, 36, 42]"
21,uRv7RmwB505r7tJdS-PqCQ_0000,"[34, 38, 31, 31, 36, 36, 32, 38, 35, 20, 39, 35, 37, 36, 36, 36, 38, 36, 38, 43, 37, 32, 33, 40, 37, 40, 25, 26, 37, 35, 38, 38, 37, 31, 38, 40, 36, 33, 37, 33, 36, 44, 40, 33, 38, 32, 41, 29, 39, 37]"
22,riPch0Vt2lFBxECPso4rjA_0000,"[21, 33, 12, 25, 20, 19, 30, 33, 14, 24, 26, 31, 31, 31, 31, 33, 29, 33, 29, 32, 22, 33, 24, 34, 25, 31, 29, 25, 30, 33, 37, 29, 32, 30, 29, 38, 33, 35, 32, 24, 23, 34, 30, 30, 31, 31, 28, 28, 32, 36]"
23,gIdOQBzJOuw38LORRIAvaQ_0000,"[36, 35, 17, 35, 42, 33, 46, 28, 38, 46, 34, 34, 42, 30, 43, 40, 37, 39, 43, 39, 34, 48, 41, 42, 38, 37, 40, 21, 39, 26, 16, 48, 33, 35, 42, 42, 32, 40, 38, 34, 41, 33, 42, 39, 37, 45, 42, 35, 38, 41]"
24,3AmnqPD4QWVxHaa05eM0eg_0000,"[14, 11, 14, 13, 17, 14, 14, 27, 15, 16, 16, 14, 13, 19, 12, 27, 12, 21, 17, 19, 13, 13, 19, 50, 16, 14, 12, 14, 22, 15, 15, 15, 14, 16, 9, 10, 13, 14, 21, 16, 15, 28, 23, 14, 11, 17, 17, 18, 14, 13]"
25,1urYXtMGpWuK1lyVno04fg_0000,"[15, 13, 15, 12, 18, 15, 17, 14, 16, 18, 18, 13, 12, 18, 13, 28, 13, 22, 18, 17, 14, 14, 18, 20, 15, 16, 15, 12, 20, 13, 14, 16, 15, 18, 41, 9, 16, 15, 22, 17, 16, 29, 24, 13, 12, 18, 18, 19, 13, 14]"
26,d9Af6SD7vOEBaVByZ3q0vw_0000,"[42, 43, 41, 38, 38, 39, 42, 42, 40, 40, 38, 43, 38, 43, 38, 41, 43, 43, 41, 35, 39, 42, 38, 44, 40, 45, 47, 41, 41, 44, 44, 36, 41, 37, 35, 43, 40, 43, 42, 39, 33, 43, 41, 44, 44, 43, 38, 38, 34, 35]"
27,VPHLuXH471Ggp5iB8ASy1g_0000,"[35, 44, 40, 37, 35, 38, 35, 39, 34, 39, 40, 36, 41, 38, 37, 37, 39, 38, 42, 34, 40, 39, 39, 39, 41, 39, 42, 42, 38, 36, 39, 37, 40, 41, 34, 41, 41, 37, 41, 36, 34, 38, 39, 41, 43, 40, 37, 41, 37, 38]"
28,GJpRpmmaQyJdtxmMC6NlFA_0000,"[45, 45, 37, 41, 37, 42, 43, 44, 45, 42, 41, 41, 43, 40, 40, 44, 42, 40, 40, 33, 42, 40, 40, 36, 42, 44, 46, 34, 36, 37, 41, 43, 44, 42, 44, 44, 42, 42, 40, 41, 43, 42, 38, 46, 49, 41, 35, 43, 41, 40]"
29,NrRjB-mtqbOFecpw7PNcEQ_0000,"[23, 21, 29, 32, 26, 29, 28, 26, 30, 31, 28, 23, 26, 29, 26, 26, 31, 24, 35, 29, 30, 28, 29, 24, 30, 27, 30, 32, 28, 28, 29, 26, 24, 27, 22, 26, 27, 29, 27, 32, 28, 25, 36, 27, 29, 29, 32, 25, 25, 22]"
30,HQBm5x0DFp-ula7PID6UXA_0000,"[28, 25, 27, 30, 25, 27, 26, 20, 29, 27, 25, 27, 27, 41, 24, 25, 28, 23, 30, 28, 29, 34, 26, 27, 29, 30, 34, 33, 34, 23, 30, 25, 23, 25, 36, 23, 26, 31, 26, 31, 24, 32, 37, 26, 30, 30, 29, 26, 23, 19]"
31,lB39dQ4kYnxOLBblN0f-kQ_0000,"[29, 28, 18, 22, 27, 28, 29, 22, 19, 28, 30, 21, 22, 26, 23, 29, 25, 20, 24, 21, 25, 29, 30, 21, 31, 24, 35, 22, 18, 27, 31, 30, 28, 38, 27, 29, 29, 23, 20, 27, 25, 18, 13, 28, 28, 28, 30, 20, 27, 25]"
32,OgrHuXoawBExUKzEwR2jcg_0000,"[37, 42, 36, 33, 31, 35, 45, 37, 32, 36, 29, 42, 35, 39, 34, 38, 30, 31, 39, 31, 33, 35, 36, 32, 35, 34, 38, 31, 35, 38, 32, 31, 25, 46, 28, 36, 30, 32, 33, 35, 39, 41, 34, 37, 33, 35, 34, 33, 31, 32]"
33,A1Dw6aFpIO7at0gqeBpcBw_0000,"[33, 26, 30, 34, 28, 34, 38, 32, 31, 37, 31, 33, 30, 17, 29, 39, 33, 32, 31, 30, 35, 37, 35, 35, 33, 38, 31, 35, 33, 32, 33, 32, 29, 32, 31, 28, 28, 30, 24, 29, 30, 35, 33, 34, 32, 38, 33, 32, 30, 31]"
34,9uGcuG6OkDpEU9AwPA89qw_0000,"[5, 4, 1, 4, 4, 5, 4, 1, 1, 5, 1, 5, 4, 5, 4, 4, 4, 6, 4, 4, 4, 4, 5, 5, 1, 5, 4, 1, 5, 4, 5, 4, 4, 5, 4, 5, 4, 4, 4, 4, 6, 4, 4, 6, 4, 5, 5, 6, 5, 4]"
35,eCFEhTyfWlI3x-7-AHCN6w_0000,"[10, 14, 10, 15, 11, 13, 15, 13, 13, 13, 12, 15, 14, 13, 16, 12, 16, 13, 13, 12, 12, 12, 14, 12, 10, 17, 16, 13, 11, 16, 20, 13, 12, 13, 10, 18, 12, 12, 12, 13, 12, 14, 11, 12, 15, 10, 11, 15, 16, 16]"
36,qgwYs0hYYdL46b6SOzrPVQ_0000,"[24, 8, 6, 10, 12, 8, 8, 10, 10, 11, 11, 7, 7, 8, 7, 13, 8, 8, 9, 10, 7, 11, 17, 13, 14, 11, 7, 6, 16, 9, 9, 12, 13, 8, 7, 8, 8, 7, 13, 7, 7, 10, 10, 9, 14, 9, 13, 9, 8, 7]"
37,FzgdoU0pRGkJh8pUEC-9Kg_0000,"[9, 10, 9, 11, 9, 11, 10, 8, 9, 10, 8, 10, 10, 10, 8, 9, 9, 12, 11, 11, 10, 10, 8, 10, 8, 10, 10, 11, 10, 11, 11, 9, 8, 12, 15, 17, 15, 10, 11, 9, 10, 11, 12, 8, 10, 13, 9, 10, 12, 11]"
38,2-jR8VyNnudGg3nFjT69Cg_0000,"[11, 16, 8, 9, 10, 12, 11, 11, 8, 12, 6, 11, 11, 11, 10, 10, 7, 9, 12, 7, 11, 8, 9, 11, 7, 9, 9, 7, 9, 8, 7, 10, 9, 11, 13, 12, 7, 11, 10, 11, 11, 9, 9, 7, 9, 11, 8, 11, 11, 10]"
39,3iYDBvASAyj4JfzR40oq1Q_0000,"[22, 27, 32, 39, 34, 32, 36, 24, 41, 19, 50, 17, 28, 15, 27, 18, 34, 41, 37, 36, 32, 16, 13, 23, 34, 13, 37, 38, 13, 29, 34, 39, 31, 40, 37, 27, 43, 39, 14, 42, 50, 15, 14, 35, 34, 33, 31, 36, 45, 20]"
40,DgEto6FM3XyZUpIGO-Jv4Q_0000,"[4, 5, 4, 5, 5, 6, 5, 4, 4, 4, 5, 4, 5, 6, 5, 5, 5, 4, 5, 5, 5, 5, 4, 6, 4, 4, 5, 4, 4, 5, 4, 5, 5, 6, 5, 6, 5, 5, 5, 5, 5, 6, 5, 5, 5, 4, 4, 5, 6, 5]"
41,69jexuO4aFQ8kstAVNu5iw_0000,"[30, 30, 13, 18, 14, 30, 16, 16, 17, 17, 19, 28, 15, 20, 18, 11, 18, 14, 26, 15, 23, 15, 15, 14, 12, 15, 17, 16, 12, 17, 22, 14, 34, 14, 26, 24, 14, 17, 19, 25, 20, 12, 15, 19, 16, 14, 15, 12, 17, 26]"
42,LsvQvXYp1WpUqPROY3Aq7Q_0000,"[8, 9, 7, 7, 8, 10, 9, 7, 6, 7, 7, 9, 8, 9, 11, 8, 10, 11, 10, 8, 9, 9, 7, 9, 9, 8, 11, 8, 8, 10, 10, 8, 10, 9, 14, 13, 10, 9, 9, 8, 8, 8, 8, 10, 7, 8, 7, 7, 9, 9]"
43,RWk2-A2AXSNULeJYzbdB3Q_0000,"[6, 6, 5, 6, 6, 7, 6, 5, 5, 6, 4, 6, 6, 7, 6, 6, 6, 5, 6, 6, 6, 6, 6, 7, 5, 6, 6, 5, 6, 6, 6, 6, 6, 7, 6, 7, 6, 6, 6, 6, 4, 5, 6, 4, 6, 6, 6, 4, 7, 6]"
44,pbV6LATdphzty3B2vsemUQ_0000,"[19, 22, 25, 28, 24, 26, 25, 29, 26, 26, 24, 24, 23, 27, 22, 24, 23, 25, 22, 23, 21, 25, 27, 26, 26, 29, 24, 24, 25, 25, 25, 24, 26, 33, 16, 21, 24, 26, 28, 26, 19, 26, 28, 25, 25, 25, 26, 24, 24, 33]"
45,EQiLOSwGMeZ5qKkDNfod7A_0000,"[7, 15, 11, 8, 7, 9, 7, 9, 7, 8, 9, 8, 9, 14, 9, 7, 11, 10, 8, 9, 8, 7, 10, 8, 6, 7, 8, 9, 7, 7, 8, 7, 7, 10, 8, 14, 9, 8, 8, 14, 9, 7, 7, 11, 8, 7, 10, 8, 10, 8]"
46,1mRLYf0C1s78T6-uYWWdmQ_0000,"[12, 7, 35, 26, 23, 17, 12, 12, 25, 30, 13, 12, 33, 25, 21, 16, 27, 15, 7, 13, 27, 23, 12, 30, 11, 12, 26, 20, 17, 24, 13, 11, 11, 26, 17, 25, 11, 27, 7, 15, 29, 13, 18, 20, 27, 12, 12, 14, 29, 30]"
47,8yt1BecOXtPqLoG54APMHA_0000,"[25, 29, 19, 19, 15, 25, 19, 17, 18, 22, 21, 29, 17, 21, 19, 14, 19, 16, 27, 14, 26, 19, 16, 15, 28, 18, 19, 17, 15, 19, 21, 21, 22, 21, 18, 20, 22, 18, 17, 28, 22, 19, 17, 21, 17, 16, 23, 13, 18, 27]"
48,W3OBCHQ7ywKwj2OXeq12rQ_0000,"[20, 20, 20, 20, 22, 24, 18, 21, 20, 21, 23, 22, 24, 24, 20, 17, 24, 19, 20, 22, 24, 20, 23, 22, 23, 19, 18, 18, 19, 18, 24, 22, 27, 20, 19, 19, 18, 21, 18, 23, 21, 20, 21, 23, 26, 20, 21, 22, 21, 28]"
49,YmtrLJotVNZj7BZnZTnmhQ_0000,"[13, 23, 34, 23, 21, 18, 20, 18, 21, 15, 22, 20, 34, 22, 17, 15, 20, 30, 21, 20, 28, 21, 11, 16, 32, 20, 20, 23, 14, 20, 23, 23, 21, 22, 30, 22, 23, 16, 16, 22, 26, 21, 22, 18, 18, 21, 20, 21, 19, 29]"
