Unnamed: 0,PERSON_ID,RANKINGS
0,n0gvPLgr1XlooAqYMU8yVQ_0000,"[23, 21, 20, 25, 27, 17, 26, 14, 13, 20, 21, 23, 18, 14, 17, 18, 12, 20, 16, 23, 14, 18, 19, 26, 12, 26, 18, 15, 21, 22, 11, 14, 18, 16, 16, 23, 17, 23, 14, 14, 11, 20, 13, 14, 13, 23, 23, 25, 14, 16]"
1,3AmnqPD4QWVxHaa05eM0eg_0000,"[10, 10, 9, 14, 8, 8, 10, 7, 8, 7, 7, 5, 9, 7, 7, 9, 10, 10, 6, 7, 6, 7, 9, 7, 10, 7, 5, 8, 9, 6, 7, 8, 11, 9, 6, 6, 10, 9, 7, 10, 9, 8, 7, 7, 9, 8, 8, 7, 9, 10]"
2,pbV6LATdphzty3B2vsemUQ_0000,"[25, 22, 26, 27, 26, 24, 25, 26, 23, 25, 27, 22, 23, 26, 26, 26, 27, 24, 27, 28, 23, 23, 21, 27, 22, 27, 25, 21, 28, 21, 25, 15, 22, 22, 25, 22, 26, 30, 25, 21, 32, 25, 21, 22, 24, 25, 24, 22, 23, 18]"
3,8yt1BecOXtPqLoG54APMHA_0000,"[29, 41, 32, 29, 34, 22, 33, 31, 36, 40, 15, 32, 35, 37, 23, 29, 30, 28, 25, 36, 33, 16, 24, 30, 27, 36, 30, 29, 24, 17, 34, 24, 32, 32, 29, 30, 31, 28, 27, 30, 28, 31, 31, 28, 29, 14, 22, 36, 31, 33]"
4,2-jR8VyNnudGg3nFjT69Cg_0000,"[13, 14, 14, 24, 23, 11, 11, 16, 20, 11, 13, 29, 29, 23, 11, 32, 24, 33, 14, 14, 19, 15, 23, 11, 21, 15, 31, 16, 20, 13, 31, 28, 26, 41, 22, 18, 12, 12, 33, 25, 21, 28, 27, 11, 30, 15, 20, 15, 27, 28]"
5,edQUnXKfPpkIRS4J0TbSWQ_0000,"[44, 39, 47, 46, 45, 45, 37, 45, 47, 39, 45, 45, 38, 45, 37, 46, 40, 37, 45, 46, 44, 43, 46, 40, 45, 45, 45, 46, 43, 42, 45, 46, 42, 44, 47, 35, 43, 44, 45, 49, 24, 40, 40, 41, 36, 44, 38, 44, 45, 36]"
6,E3c-l0b8kUM4qOYBh95teg_0000,"[14, 12, 15, 19, 12, 16, 23, 23, 12, 12, 12, 12, 17, 15, 21, 15, 15, 13, 15, 13, 16, 21, 15, 20, 14, 13, 11, 23, 18, 12, 23, 13, 23, 21, 17, 21, 14, 21, 19, 18, 14, 14, 17, 13, 18, 17, 13, 23, 24, 15]"
7,bB6ZazX1M2wY3oYvgAdY-A_0000,"[49, 49, 49, 49, 48, 49, 49, 49, 48, 49, 49, 49, 49, 49, 49, 47, 49, 48, 49, 49, 47, 48, 49, 48, 48, 48, 49, 49, 49, 49, 49, 49, 49, 47, 46, 48, 48, 48, 49, 46, 49, 49, 48, 45, 47, 49, 49, 49, 49, 48]"
8,EQiLOSwGMeZ5qKkDNfod7A_0000,"[15, 16, 13, 10, 13, 18, 14, 20, 17, 15, 20, 11, 13, 16, 20, 13, 13, 32, 17, 15, 15, 28, 16, 12, 18, 16, 17, 13, 14, 23, 13, 16, 15, 17, 20, 14, 20, 11, 16, 17, 16, 16, 16, 17, 15, 18, 14, 12, 15, 13]"
9,zM42Tbi6C4Erb92gBzCKuQ_0000,"[48, 47, 45, 48, 50, 48, 47, 48, 50, 47, 47, 48, 48, 48, 48, 49, 48, 50, 48, 47, 50, 49, 48, 50, 49, 50, 48, 47, 46, 48, 50, 48, 48, 50, 45, 49, 50, 49, 48, 50, 48, 48, 50, 46, 50, 48, 48, 48, 48, 49]"
10,AtgrXAMqacm70yGBml37Lw_0000,"[40, 44, 39, 42, 38, 39, 39, 34, 40, 31, 38, 34, 41, 36, 39, 40, 37, 41, 38, 34, 38, 39, 39, 36, 33, 42, 37, 42, 37, 41, 35, 36, 38, 34, 39, 42, 39, 41, 40, 39, 39, 38, 41, 49, 38, 36, 42, 31, 38, 37]"
