,PERSON_ID,RANKINGS
0,ex3VBF1zHJFDFpv5EnOQjQ_0000,"[49, 49, 49, 49, 50, 39, 48, 50, 39, 46, 49, 49, 50, 26, 50, 48, 49, 49, 49, 47, 50, 49, 50, 47, 48, 47, 49, 49, 49, 49, 50, 50, 50, 50, 49, 49, 49, 48, 33, 49, 50, 49, 49, 48, 49, 50, 49, 50, 48, 48]"
1,9w3th4Msyw1YUMex6fxwpQ_0000,"[48, 48, 32, 48, 47, 48, 49, 48, 45, 47, 48, 41, 47, 49, 48, 50, 48, 48, 48, 49, 45, 48, 48, 48, 49, 49, 47, 48, 47, 48, 47, 48, 48, 48, 48, 48, 48, 49, 45, 47, 48, 50, 47, 49, 47, 48, 42, 43, 49, 43]"
2,zMoV5CgXo2fmoyQ8C3F-fQ_0000,"[10, 41, 18, 20, 11, 17, 41, 46, 22, 15, 43, 21, 37, 12, 35, 18, 10, 19, 11, 26, 19, 47, 22, 10, 17, 38, 31, 25, 41, 39, 42, 44, 43, 43, 42, 43, 38, 45, 28, 19, 30, 22, 16, 35, 31, 37, 16, 17, 11, 37]"
3,y1qaBXoWaqOTZ6f9Iy47wg_0000,"[22, 34, 30, 34, 28, 37, 42, 44, 23, 26, 39, 38, 34, 36, 30, 19, 38, 42, 42, 28, 31, 45, 27, 36, 40, 37, 24, 46, 42, 33, 43, 47, 39, 44, 34, 34, 36, 44, 35, 48, 45, 32, 29, 34, 46, 38, 40, 44, 25, 27]"
4,MSwKr5pG7NpDq02ZkYGoxA_0000,"[35, 32, 26, 36, 34, 36, 47, 45, 21, 16, 42, 25, 38, 31, 31, 20, 37, 46, 45, 29, 32, 44, 28, 46, 39, 39, 32, 45, 45, 37, 44, 45, 40, 46, 47, 45, 43, 46, 26, 22, 36, 26, 34, 36, 30, 39, 41, 30, 22, 35]"
5,4FDc6HjAuS7TvkXMBAw5Vw_0000,"[39, 47, 41, 46, 46, 50, 45, 34, 31, 27, 47, 40, 41, 45, 47, 47, 47, 41, 44, 46, 46, 43, 39, 45, 43, 46, 48, 40, 48, 44, 46, 46, 47, 47, 30, 46, 44, 47, 36, 26, 37, 48, 36, 43, 43, 41, 37, 37, 45, 49]"
6,8Wo23uXgt5rpcbMbtETzFQ_0000,"[31, 30, 36, 38, 29, 40, 46, 43, 24, 42, 44, 39, 29, 37, 32, 25, 39, 47, 15, 40, 33, 46, 31, 37, 42, 41, 29, 20, 46, 35, 28, 43, 41, 20, 46, 33, 39, 28, 29, 29, 38, 37, 17, 44, 36, 40, 35, 26, 34, 30]"
7,Mfz5kzNssRgvYPshVuzBSA_0000,"[50, 50, 50, 50, 49, 49, 50, 49, 50, 50, 50, 50, 49, 50, 49, 49, 50, 50, 50, 50, 49, 50, 49, 50, 50, 50, 50, 50, 28, 50, 49, 49, 49, 18, 50, 50, 50, 50, 50, 50, 49, 47, 50, 50, 50, 49, 50, 49, 50, 50]"
8,d2EIef7Ojotdr7sKWv5Mog_0000,"[23, 29, 21, 32, 27, 35, 29, 32, 25, 21, 29, 26, 25, 30, 28, 23, 25, 37, 22, 25, 30, 39, 30, 29, 19, 34, 30, 19, 39, 28, 29, 29, 17, 19, 35, 36, 24, 24, 27, 28, 24, 25, 27, 27, 37, 34, 39, 32, 24, 19]"
9,bkmUikdqVwCJ3EdlhgFt8w_0000,"[25, 26, 20, 33, 20, 38, 40, 31, 38, 23, 28, 22, 26, 27, 29, 21, 27, 31, 24, 24, 29, 40, 29, 32, 20, 33, 27, 24, 40, 36, 30, 28, 42, 42, 43, 37, 25, 25, 25, 23, 25, 23, 28, 33, 32, 29, 38, 28, 23, 21]"
10,T7FunRn2SGOnFJPhkA4Tmg_0000,"[4, 3, 4, 5, 4, 4, 3, 5, 3, 4, 4, 4, 4, 5, 6, 4, 4, 4, 3, 4, 5, 4, 4, 4, 4, 4, 3, 5, 4, 5, 3, 4, 4, 4, 5, 3, 5, 4, 4, 4, 4, 12, 4, 4, 6, 5, 4, 4, 9, 4]"
11,fmdLUFDZcM7t6NGvez2ceg_0000,"[28, 31, 42, 47, 44, 27, 24, 42, 42, 28, 37, 37, 30, 39, 27, 41, 41, 32, 38, 42, 37, 38, 38, 41, 41, 27, 36, 43, 38, 32, 37, 37, 19, 37, 29, 32, 37, 30, 41, 30, 39, 30, 31, 42, 34, 36, 36, 47, 30, 32]"
12,UOMdPHE44V7qoUuDZ6tc5g_0000,"[47, 45, 19, 44, 48, 45, 43, 39, 46, 48, 45, 43, 48, 44, 42, 46, 46, 45, 47, 48, 48, 42, 45, 49, 47, 48, 46, 44, 30, 42, 48, 42, 44, 49, 44, 39, 46, 42, 46, 45, 46, 46, 46, 47, 48, 44, 46, 42, 41, 45]"
13,3Trg6UIrWBnSpKdm26phGg_0000,"[38, 27, 22, 45, 45, 16, 44, 47, 40, 45, 26, 34, 18, 34, 25, 30, 40, 11, 43, 23, 36, 41, 12, 13, 37, 45, 33, 47, 43, 45, 23, 25, 16, 45, 41, 38, 26, 22, 47, 20, 19, 27, 37, 38, 19, 35, 27, 14, 12, 31]"
14,B8V5nMV2lnzpKe7NCIZ9Sg_0000,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1]"
15,osnFJie7EzAdVWlEJEdm3g_0000,"[2, 4, 2, 3, 3, 3, 4, 3, 4, 2, 3, 3, 3, 4, 3, 3, 2, 3, 4, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 5, 3, 2, 3, 2, 4, 3, 3, 2, 3, 3, 3, 1, 2, 3, 2, 3, 2, 3, 2]"
16,0qxWUhTaGBfUB6PYqpn1BA_0000,"[27, 6, 9, 4, 5, 8, 5, 18, 5, 11, 7, 7, 14, 3, 4, 8, 8, 9, 5, 6, 4, 10, 9, 6, 9, 15, 5, 4, 19, 4, 4, 9, 18, 11, 4, 9, 4, 12, 7, 5, 11, 4, 9, 7, 4, 4, 6, 11, 4, 5]"
17,1GhkFfC6omaDGHneDMvtvw_0000,"[5, 7, 5, 8, 8, 6, 6, 20, 8, 6, 5, 8, 8, 6, 5, 10, 6, 10, 10, 8, 7, 8, 10, 5, 14, 6, 12, 8, 14, 8, 6, 7, 5, 5, 6, 5, 7, 9, 5, 10, 8, 5, 8, 5, 7, 6, 7, 5, 8, 8]"
18,762VtQ5NVzcCvvFTPmgHEg_0000,"[33, 44, 45, 40, 37, 43, 37, 41, 43, 41, 35, 45, 46, 48, 43, 38, 42, 39, 39, 43, 39, 37, 35, 42, 44, 31, 40, 42, 36, 38, 41, 36, 46, 36, 37, 31, 42, 32, 42, 44, 44, 38, 42, 40, 45, 33, 48, 46, 36, 41]"
19,qOZtDBL5oBFi5MAv5BkJjA_0000,"[6, 5, 6, 7, 9, 5, 7, 4, 6, 5, 6, 5, 5, 10, 7, 5, 5, 5, 12, 5, 6, 5, 5, 9, 5, 5, 8, 6, 5, 6, 7, 5, 6, 6, 8, 6, 6, 7, 11, 6, 5, 6, 5, 6, 5, 7, 5, 7, 6, 6]"
20,bCQVO1rV6Nqv2rdiGuNB2Q_0000,"[32, 24, 47, 30, 32, 29, 25, 29, 20, 43, 27, 35, 31, 24, 33, 40, 34, 25, 34, 41, 35, 31, 36, 17, 33, 19, 22, 32, 26, 26, 27, 30, 24, 34, 26, 21, 33, 35, 31, 42, 41, 35, 32, 17, 38, 30, 23, 33, 46, 44]"
21,oa6zR1z-kQRyHE2-AyYGZw_0000,"[8, 9, 8, 12, 7, 11, 12, 8, 10, 9, 11, 12, 6, 7, 11, 9, 12, 8, 7, 12, 12, 6, 8, 7, 8, 10, 6, 10, 6, 9, 12, 8, 9, 9, 12, 13, 8, 5, 6, 8, 7, 8, 15, 9, 9, 8, 10, 6, 7, 13]"
