,PERSON_ID,RANKINGS
0,9hjW477NE8agG1qdsBORtQ_0000,"[41, 41, 34, 38, 42, 38, 37, 48, 31, 31, 38, 44, 41, 23, 36, 29, 36, 41, 38, 29, 31, 45, 39, 30, 41, 39, 45, 30, 41, 45, 39, 39, 37, 33, 38, 36, 46, 41, 36, 30, 34, 43, 41, 42, 31, 40, 44, 40, 43, 35]"
1,hdVR2RhP4RvLS3zU3l9fdg_0000,"[21, 46, 16, 16, 41, 34, 23, 40, 37, 26, 20, 48, 13, 39, 47, 43, 28, 45, 28, 40, 40, 28, 32, 39, 31, 37, 21, 43, 37, 35, 35, 16, 33, 44, 17, 26, 36, 42, 44, 44, 23, 40, 15, 23, 11, 45, 16, 26, 27, 47]"
2,YS5zQpRtA0ZSYr4VskwClA_0000,"[36, 36, 39, 33, 35, 20, 18, 35, 27, 21, 26, 33, 34, 35, 24, 32, 34, 24, 23, 20, 36, 36, 38, 33, 23, 31, 35, 24, 28, 29, 36, 41, 45, 38, 33, 35, 23, 39, 28, 29, 30, 33, 26, 33, 30, 24, 39, 33, 33, 31]"
3,AFKBV4FXe-fz76EgjGXa1A_0000,"[45, 30, 44, 44, 38, 40, 44, 36, 41, 38, 42, 32, 38, 34, 43, 45, 37, 44, 40, 41, 33, 31, 34, 46, 37, 45, 42, 39, 40, 37, 41, 44, 41, 39, 40, 29, 34, 35, 38, 42, 39, 41, 38, 41, 44, 42, 42, 29, 39, 36]"
4,ZYFaVB0TrDlpIY-AuRfdNQ_0000,"[29, 14, 29, 24, 19, 30, 27, 26, 15, 32, 32, 22, 22, 13, 29, 24, 24, 32, 31, 23, 26, 22, 19, 25, 16, 20, 13, 10, 23, 19, 16, 27, 17, 29, 22, 16, 28, 24, 15, 31, 37, 22, 31, 18, 21, 19, 32, 19, 30, 28]"
5,ZBqaQjcDWtFEoEeh0lR-Bg_0000,"[5, 3, 4, 4, 6, 7, 3, 4, 4, 3, 4, 4, 4, 6, 4, 4, 4, 3, 5, 4, 5, 4, 4, 4, 4, 4, 3, 6, 4, 4, 7, 4, 5, 6, 6, 3, 4, 5, 3, 9, 3, 5, 4, 4, 3, 4, 4, 3, 11, 3]"
6,i8JWdOa4xTj4TNpVEnOI8Q_0000,"[27, 15, 22, 21, 11, 29, 28, 27, 21, 16, 10, 13, 12, 16, 21, 10, 27, 10, 34, 13, 29, 16, 12, 24, 13, 21, 14, 11, 25, 20, 20, 10, 18, 16, 24, 14, 30, 23, 13, 10, 16, 20, 12, 14, 19, 21, 27, 16, 18, 12]"
7,MA5-0-RlhBnMSQdNNG8wPA_0000,"[20, 23, 42, 15, 15, 25, 22, 37, 16, 24, 18, 18, 27, 27, 41, 46, 15, 27, 27, 37, 38, 32, 31, 19, 34, 36, 18, 32, 31, 34, 23, 15, 31, 20, 16, 22, 35, 31, 31, 19, 21, 17, 14, 24, 40, 17, 15, 27, 25, 42]"
8,L-o29S5hS2QtBJW71tVBgQ_0000,"[49, 45, 46, 47, 49, 45, 46, 50, 49, 42, 47, 42, 48, 38, 45, 48, 47, 49, 41, 46, 41, 38, 48, 49, 47, 43, 47, 41, 45, 42, 43, 48, 43, 48, 47, 49, 44, 43, 47, 48, 41, 44, 48, 40, 49, 44, 41, 47, 35, 50]"
9,pF7no0dVVYCvo3j3kqDkMQ_0000,"[48, 50, 50, 49, 50, 50, 50, 49, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 49, 50, 50, 50, 50, 50, 50, 49, 43, 50, 50, 50, 50, 50, 50, 50, 49, 50, 50, 50, 49, 50, 50, 50, 50, 50, 50, 50, 49]"
10,3xYgdKaZKeHO2hCgdaOQRw_0000,"[17, 21, 11, 12, 25, 10, 42, 20, 26, 13, 22, 31, 31, 26, 14, 16, 38, 18, 19, 21, 20, 13, 22, 22, 25, 34, 36, 25, 17, 31, 34, 26, 29, 28, 31, 10, 15, 15, 23, 23, 26, 28, 20, 26, 33, 10, 17, 21, 36, 20]"
11,gWwsUphw8EwyTzSaWGnvmQ_0000,"[18, 32, 14, 31, 26, 21, 17, 19, 30, 19, 24, 26, 35, 21, 18, 31, 23, 23, 25, 18, 19, 35, 35, 34, 19, 29, 32, 27, 27, 27, 18, 25, 27, 19, 34, 32, 22, 19, 29, 25, 28, 23, 24, 22, 32, 23, 23, 32, 22, 32]"
12,09lwQBVEm7letN1cEBQXSg_0000,"[6, 8, 7, 7, 4, 8, 7, 7, 6, 5, 9, 6, 7, 7, 6, 7, 9, 8, 6, 7, 7, 6, 7, 6, 7, 5, 7, 8, 8, 6, 8, 6, 6, 7, 5, 7, 8, 8, 7, 7, 7, 9, 6, 5, 13, 7, 6, 5, 10, 4]"
13,gCo5vYmY1Cd17vOco9FsMw_0000,"[39, 34, 26, 39, 28, 39, 36, 33, 32, 29, 36, 27, 36, 44, 34, 36, 39, 36, 35, 30, 32, 41, 36, 35, 20, 25, 39, 28, 39, 49, 38, 36, 35, 37, 35, 38, 41, 28, 30, 37, 33, 38, 28, 44, 36, 37, 46, 39, 41, 33]"
14,KFN1j2yH9ZWqZxZoM24oww_0000,"[7, 4, 3, 3, 3, 3, 4, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 8, 3, 3, 8, 3, 3, 3, 3, 7, 8, 3, 3, 8, 3, 6, 6, 3, 6, 3, 3, 3, 7, 3, 3, 4, 4, 5]"
15,rJBByY8zlmFbYwY6GLFFvA_0000,"[34, 37, 32, 40, 43, 36, 34, 30, 43, 46, 40, 35, 43, 42, 31, 26, 40, 39, 46, 32, 42, 44, 40, 41, 43, 40, 28, 46, 46, 46, 42, 34, 39, 32, 37, 40, 43, 38, 41, 36, 40, 42, 44, 45, 26, 35, 34, 43, 44, 43]"
