Unnamed: 0,PERSON_ID,RANKINGS
0,0429F2J0poPq4afD2HqHqg_0000,"[30, 29, 19, 50, 27, 36, 19, 18, 27, 18, 16, 23, 17, 32, 23, 21, 22, 15, 20, 24, 26, 26, 19, 22, 18, 17, 18, 32, 26, 21, 20, 23, 16, 13, 16, 21, 18, 26, 17, 25, 24, 26, 26, 16, 21, 20, 23, 31, 32, 22]"
1,GceqUAnxMJJj4PBfOZyBWQ_0000,"[29, 24, 22, 19, 28, 23, 27, 21, 26, 28, 19, 18, 30, 30, 30, 24, 27, 21, 26, 23, 29, 23, 22, 17, 23, 24, 31, 29, 20, 22, 26, 39, 27, 16, 30, 22, 26, 28, 22, 29, 23, 22, 25, 21, 30, 21, 19, 34, 19, 27]"
2,yihOZNG7HLBS206q4l7yeg_0000,"[19, 17, 10, 25, 16, 19, 35, 26, 16, 35, 34, 32, 25, 36, 14, 28, 18, 33, 17, 35, 24, 39, 35, 27, 13, 28, 34, 19, 25, 34, 17, 15, 24, 32, 21, 13, 17, 18, 24, 19, 20, 18, 20, 25, 35, 22, 27, 19, 28, 24]"
3,OlFG8B76pheOwDF4BWOfqg_0000,"[26, 21, 14, 16, 20, 10, 28, 22, 23, 21, 20, 20, 28, 27, 27, 20, 25, 13, 24, 19, 21, 20, 20, 14, 19, 21, 24, 23, 16, 14, 23, 20, 28, 17, 32, 32, 20, 29, 23, 26, 25, 23, 22, 14, 20, 38, 20, 36, 13, 15]"
4,bMLcb14CGll1BlJ72Yxcjg_0000,"[35, 42, 30, 35, 37, 33, 34, 41, 36, 47, 26, 30, 40, 21, 47, 44, 37, 30, 32, 30, 41, 49, 31, 37, 30, 41, 43, 38, 32, 45, 29, 30, 45, 23, 42, 29, 36, 45, 37, 44, 35, 34, 36, 35, 29, 35, 31, 21, 21, 34]"
5,PlgQ6oTHQBDbYH2DSmZTlw_0000,"[21, 36, 23, 29, 26, 41, 23, 27, 18, 37, 36, 37, 26, 41, 35, 31, 40, 39, 39, 36, 27, 40, 24, 29, 37, 34, 20, 21, 37, 43, 34, 31, 33, 39, 22, 26, 39, 31, 26, 34, 39, 37, 39, 29, 34, 33, 36, 23, 36, 35]"
6,wgt2yZPhsm-RqCYctX8isA_0000,"[31, 27, 24, 20, 21, 38, 21, 32, 28, 22, 32, 38, 44, 31, 41, 32, 28, 16, 31, 31, 33, 33, 26, 23, 35, 33, 22, 28, 36, 25, 35, 22, 42, 18, 34, 40, 21, 40, 30, 30, 26, 25, 27, 20, 42, 43, 21, 29, 17, 23]"
7,l992dO9NLXXTduMZjZHLHA_0000,"[49, 40, 43, 45, 38, 42, 50, 37, 48, 44, 50, 44, 35, 50, 45, 47, 30, 43, 49, 47, 45, 47, 45, 42, 44, 40, 44, 45, 48, 46, 45, 44, 44, 44, 48, 48, 41, 47, 40, 37, 44, 46, 40, 48, 37, 45, 39, 40, 43, 41]"
8,n62we8GGwqd70EwlPmHpNA_0000,"[24, 18, 15, 22, 19, 20, 42, 23, 29, 29, 45, 33, 38, 35, 24, 27, 24, 35, 38, 33, 31, 27, 38, 28, 20, 31, 32, 27, 27, 18, 36, 38, 23, 34, 18, 25, 28, 16, 38, 16, 32, 45, 21, 27, 44, 32, 40, 33, 31, 17]"
9,SjJ6ocjY7BNPBSnmeRBldQ_0000,"[50, 44, 50, 47, 50, 50, 43, 34, 44, 49, 47, 47, 49, 39, 48, 36, 47, 41, 50, 40, 50, 48, 42, 47, 41, 48, 46, 50, 47, 50, 48, 49, 49, 48, 46, 44, 48, 50, 45, 49, 49, 41, 45, 41, 50, 48, 44, 46, 48, 44]"
10,lO1r9LJ1rE9AOcdjCsogAw_0000,"[8, 8, 7, 7, 10, 8, 7, 7, 5, 7, 9, 6, 7, 7, 8, 7, 6, 7, 7, 8, 7, 8, 5, 6, 7, 8, 6, 7, 5, 9, 7, 8, 6, 8, 9, 7, 8, 7, 5, 7, 6, 6, 8, 8, 7, 9, 8, 8, 7, 8]"
11,z3FA5vBCXrpcJjl4giYcqQ_0000,"[45, 49, 48, 49, 49, 46, 46, 49, 41, 48, 44, 49, 50, 44, 49, 37, 49, 47, 45, 46, 48, 44, 47, 49, 48, 46, 45, 48, 44, 40, 46, 48, 46, 47, 36, 50, 46, 49, 49, 40, 42, 49, 49, 50, 47, 49, 48, 45, 49, 46]"
12,BYwFFwOLZ5wDvn6HwX93eg_0000,"[47, 45, 38, 46, 45, 45, 45, 48, 45, 41, 37, 42, 45, 43, 44, 35, 44, 46, 48, 45, 47, 43, 49, 44, 40, 49, 48, 47, 38, 44, 41, 46, 41, 41, 45, 46, 45, 35, 44, 39, 46, 43, 46, 46, 32, 42, 46, 48, 47, 45]"
13,B02gsFgrcnK43NC7kAcwdQ_0000,"[42, 20, 31, 27, 29, 39, 22, 29, 37, 25, 33, 36, 23, 33, 25, 40, 39, 23, 33, 37, 42, 35, 43, 30, 36, 30, 30, 42, 35, 33, 32, 24, 29, 37, 24, 41, 27, 30, 27, 33, 28, 36, 30, 38, 33, 40, 37, 39, 38, 36]"
