PERSON_ID,RANKINGS
3AmnqPD4QWVxHaa05eM0eg_0000,"[11, 7, 10, 7, 9, 10, 11, 10, 10, 12, 10, 11, 11, 6, 10, 10, 6, 7, 6, 10, 6, 9, 7, 10, 6, 6, 6, 7, 9, 12, 10, 7, 9, 7, 6, 11, 10, 7, 7, 13, 7, 9, 11, 10, 10, 10, 10, 10, 8, 8]"
HQBm5x0DFp-ula7PID6UXA_0000,"[28, 27, 25, 28, 27, 25, 23, 30, 30, 31, 29, 28, 26, 35, 33, 25, 29, 30, 19, 21, 30, 25, 26, 23, 29, 27, 29, 26, 28, 30, 27, 32, 26, 22, 28, 22, 22, 31, 31, 28, 20, 27, 34, 33, 27, 15, 26, 21, 23, 27]"
K8OGajay4tLd4lcKypZgbg_0000,"[44, 38, 36, 43, 42, 34, 37, 47, 44, 44, 39, 42, 33, 43, 46, 37, 37, 41, 38, 45, 35, 44, 35, 40, 43, 33, 42, 33, 37, 43, 38, 43, 43, 43, 45, 45, 35, 45, 42, 38, 37, 41, 43, 46, 43, 44, 46, 44, 46, 37]"
zMxeB09d7mBSMIKEzGTBvg_0000,"[29, 28, 26, 30, 26, 27, 24, 19, 27, 26, 30, 27, 24, 23, 32, 24, 28, 32, 18, 22, 31, 24, 25, 31, 28, 28, 28, 23, 32, 24, 25, 24, 27, 29, 27, 18, 23, 24, 30, 26, 27, 17, 36, 31, 29, 24, 27, 24, 31, 29]"
bB6ZazX1M2wY3oYvgAdY-A_0000,"[50, 49, 49, 49, 49, 50, 50, 50, 50, 49, 50, 49, 50, 50, 49, 49, 50, 50, 50, 49, 50, 49, 49, 48, 49, 49, 50, 49, 50, 49, 49, 50, 47, 49, 49, 50, 49, 50, 50, 49, 49, 49, 49, 48, 50, 49, 48, 49, 48, 50]"
qgwYs0hYYdL46b6SOzrPVQ_0000,"[10, 6, 8, 8, 11, 8, 6, 7, 9, 9, 9, 8, 6, 10, 7, 8, 9, 10, 12, 8, 8, 12, 6, 7, 9, 8, 10, 6, 6, 7, 7, 8, 10, 11, 9, 8, 8, 10, 10, 6, 11, 6, 8, 6, 7, 6, 6, 7, 5, 10]"
VPHLuXH471Ggp5iB8ASy1g_0000,"[31, 36, 32, 39, 31, 38, 38, 32, 34, 37, 35, 38, 35, 41, 29, 27, 35, 43, 44, 42, 42, 39, 44, 39, 36, 39, 33, 34, 45, 44, 35, 41, 40, 32, 32, 33, 39, 32, 40, 43, 39, 34, 46, 38, 37, 43, 43, 35, 40, 34]"
LsvQvXYp1WpUqPROY3Aq7Q_0000,"[12, 10, 7, 9, 7, 7, 7, 8, 11, 8, 11, 7, 8, 9, 8, 9, 10, 9, 9, 6, 10, 11, 10, 11, 10, 11, 9, 10, 8, 8, 8, 11, 7, 8, 8, 9, 12, 8, 9, 8, 9, 10, 9, 8, 8, 8, 8, 6, 6, 11]"
pbV6LATdphzty3B2vsemUQ_0000,"[30, 25, 22, 20, 24, 24, 25, 38, 26, 28, 23, 25, 23, 22, 20, 23, 27, 26, 17, 23, 28, 21, 24, 25, 26, 26, 27, 24, 27, 22, 28, 22, 24, 31, 29, 24, 30, 26, 23, 25, 18, 21, 23, 26, 24, 22, 34, 23, 27, 20]"
d9Af6SD7vOEBaVByZ3q0vw_0000,"[39, 39, 35, 42, 41, 33, 36, 36, 41, 43, 31, 43, 34, 42, 36, 36, 38, 39, 37, 46, 34, 43, 34, 33, 42, 32, 41, 32, 36, 42, 37, 42, 42, 40, 44, 38, 36, 40, 41, 39, 36, 40, 42, 45, 41, 46, 47, 45, 45, 35]"
n0gvPLgr1XlooAqYMU8yVQ_0000,"[27, 24, 21, 19, 25, 28, 22, 22, 21, 24, 22, 26, 25, 21, 21, 26, 16, 27, 20, 20, 29, 22, 23, 19, 27, 25, 23, 25, 29, 23, 23, 23, 25, 30, 23, 25, 24, 28, 20, 27, 19, 24, 24, 21, 23, 23, 24, 20, 25, 21]"
gIdOQBzJOuw38LORRIAvaQ_0000,"[49, 50, 50, 50, 50, 49, 48, 46, 48, 50, 49, 50, 49, 48, 50, 50, 49, 49, 48, 50, 48, 50, 50, 49, 50, 50, 49, 50, 47, 50, 50, 47, 50, 50, 50, 48, 50, 48, 49, 50, 50, 50, 50, 47, 48, 50, 50, 50, 50, 48]"
tVFarO5ogVAgvJRih6KCWg_0000,"[33, 40, 40, 29, 28, 39, 41, 40, 33, 27, 34, 29, 41, 36, 34, 43, 30, 31, 21, 36, 32, 26, 27, 35, 30, 43, 36, 27, 40, 31, 26, 33, 36, 35, 34, 27, 42, 36, 32, 29, 40, 28, 35, 32, 33, 38, 25, 29, 33, 28]"
QeRo0W1KCGLz9raVaWHWbA_0000,"[45, 46, 47, 47, 48, 47, 47, 44, 49, 48, 47, 48, 47, 47, 47, 47, 48, 47, 47, 47, 49, 48, 48, 47, 48, 48, 47, 47, 48, 47, 42, 48, 48, 47, 48, 47, 48, 42, 47, 48, 47, 47, 47, 49, 46, 48, 42, 47, 47, 46]"
GJpRpmmaQyJdtxmMC6NlFA_0000,"[7, 8, 9, 6, 8, 9, 9, 9, 8, 10, 4, 10, 9, 7, 12, 7, 11, 12, 10, 9, 11, 8, 8, 8, 12, 10, 11, 8, 10, 11, 9, 6, 8, 6, 12, 13, 6, 9, 8, 9, 10, 11, 10, 12, 12, 12, 12, 11, 11, 30]"
edQUnXKfPpkIRS4J0TbSWQ_0000,"[43, 33, 37, 35, 39, 36, 33, 37, 38, 46, 41, 45, 45, 32, 38, 33, 41, 42, 36, 33, 44, 32, 37, 41, 44, 35, 44, 43, 34, 39, 40, 44, 32, 42, 43, 44, 33, 44, 44, 37, 34, 45, 32, 42, 44, 36, 36, 42, 42, 44]"
